Description,Extension,Category,MIME type
DiamondWare Digitized Audio,.dwd,Game Files,application/atsc-dwd+xml
Tableau Workbook File,.twb,Data Files,Unknown
Software License File,.license,Text,Unknown
Electric Image,.ei,Images,Unknown
ActiveWorlds Custom Avatar File,.awcav,Settings Files,Unknown
Secure Backup System File,.sbs,Backup Files,Unknown
Callipeg Animation Project,.peg,Video,Unknown
Renamed Microsoft Word Document,._doc,Text,Unknown
Apache OpenOffice AutoText File,.bau,Settings Files,Unknown
UML Data Object Model,.uml,Developer Files,Unknown
Setup Information File,.inf,Settings Files,Unknown
OpenType Font,.otf,Font Files,application/x-font-otf
OpenType Font,.otf,Font Files,font/otf
Lattice XVL Geometry File,.xv3,CAD Files,Unknown
Microsoft Office Exported UI Customization File,.exportedui,Settings Files,Unknown
FoxPro Report Memo,.frt,Text,Unknown
UltraISO Backup Disk Image,.uibak,Disk Images,Unknown
Nintendo DS Sound Data File,.sdat,Audio,Unknown
Luminar 2018 Project File,.lmnr,Raster Images,Unknown
Brooktrout 301 Image,.brk,Images,Unknown
Sibelius Arrange Style,.sar,Data Files,Unknown
DarkBASIC Professional Project File,.dbpro,Developer Files,Unknown
SEAL2 Application,.s2a,Executable,Unknown
Graphics Accounts Data File,.bgt,Data Files,Unknown
Webshots Collection File,.wbp,Raster Images,Unknown
NewViews 2 Database File,.nv2,Database Files,Unknown
Norton LiveUpdate Log File,.lue,Text,Unknown
Sunlight ScanLibrary File,.ssl,Settings Files,Unknown
QuickBooks 2017 for Mac Data File,.qb2017,Data Files,Unknown
At Home Canada 2012 Tax Return,.h12,Data Files,Unknown
AfterShot Pro Plugin Bundle,.bzplug,Plugin Files,Unknown
WinImage Disk Image List,.wil,Disk Images,Unknown
SBIG CCD camera ST-X Image,.st7,Images,Unknown
Makefile,.mk,Developer Files,Unknown
Internet Explorer Pinned Site Shortcut,.website,Web Files,Unknown
Sony DSC-F1 Cyber-shot Image,.pmp,Images,Unknown
Exchange Shortcut,.xnk,Misc Files,Unknown
Rich Page Content Document,.rpc,Page Layouts,Unknown
QuickBooks Accountant Transfer File,.qbx,Backup Files,Unknown
ACDSee Slideshow Wizard File,.asw,Settings Files,Unknown
DCC Active Designer File,.dss,System Files,Unknown
Mac OS X IOPLIST File,.ioplist,System Files,Unknown
GeoPackage Database,.gpkg,GIS Files,application/geopackage+sqlite3
IsoPuzzle Flag File,.flg,Disk Images,Unknown
Twitter Large JPEG Image,.jpg_large,Raster Images,Unknown
CX-Programmer Project File,.cxp,Developer Files,Unknown
Geomagic 3D Wrap File,.wrp,3D Images,Unknown
IRC Chat Configuration,.cha,Web Files,Unknown
Java Application Descriptor File,.jad,Misc Files,text/vnd.sun.j2me.app-descriptor
Movavi Slideshow Maker Project,.meps,Video,Unknown
Algodoo Phun Phunlet,.phn,Game Files,Unknown
Samsung Smart TV Index File,.cm0013,System Files,Unknown
BgInfo Configuration File,.bgi,Settings Files,Unknown
Ftpquota File,.ftpquota,Settings Files,Unknown
ClarisDraw Drawing,.ddrw,Vector Images,Unknown
H.264 Encoded Video File,.h264,Video,video/h264
MartView eBook File,.mart,eBook,Unknown
DeepBurner Disc Project,.dbr,Disk Images,Unknown
FreeHand 7 Drawing Template,.ft7,Vector Images,Unknown
JPEG Image,.jpeg,Raster Images,image/jpeg
JPEG Image,.jpeg,Raster Images,image/pjpeg
Macrium Reflect Disk Image,.mrimg,Disk Images,Unknown
IES Photometric Data File,.ies,Data Files,Unknown
Flash Local Shared Object File,.sol,Settings Files,Unknown
K-Meleon Macro Module,.kmm,Plugin Files,Unknown
WordPerfect Works Document,.wpw,Text,Unknown
Visual Studio Work Item Query File,.wiq,Developer Files,Unknown
Utah raster Image,.rle,Images,Unknown
Avira AntiVir Quarantined File,.qua,Misc Files,Unknown
Adobe XD Document,.xd,Web Files,Unknown
VMware Hot Fix File,.vmhf,Misc Files,Unknown
macOS Directory Localization File,.localized,System Files,Unknown
OmniOutliner Template,.oo3template,Page Layouts,Unknown
ProTool Compressed Project File,.arh,Compressed,Unknown
Optigraphics Image,.cft,Images,Unknown
Mobile 3D Graphics 3D Model,.m3g,3D Images,application/m3g
Real Pac Batch Job File,.rpj,Executable,Unknown
Humongous Entertainment Game Save File,.sg0,Game Files,Unknown
Drive Snapshot Backup Continuation 1,.sn1,Backup Files,Unknown
XML Shortcut File,.xlnk,Misc Files,Unknown
REBOL Script,.r,Developer Files,Unknown
Not Quite C Source Code File,.nqc,Developer Files,Unknown
Nintendo DS Model Animation File,.nsbca,Game Files,Unknown
Pixilart Project,.pixil,Vector Images,Unknown
Office Accounting Compressed Backup File,.ate,Backup Files,Unknown
Files by Google Trash Database,.trash_database,Database Files,Unknown
Houdini Apprentice File,.hipnc,3D Images,Unknown
TexturePacker License Key File,.tpkey,Misc Files,Unknown
Bethesda Softworks Lip Sync File,.lip,Game Files,Unknown
"Deluxe Paint, Electronic Arts Image",.ilbm,Images,Unknown
WinAce Split Archive File,.c00,Compressed,Unknown
GTK Theme Index File,.theme,Settings Files,Unknown
Turbo View & Convert Batch Presets File,.tvc,Settings Files,Unknown
UltraTracker Module,.ult,Audio,Unknown
Hauptwerk Component Package,.comppkg_hauptwerk_rar,Compressed,Unknown
WinRAR Compressed Archive,.r0,Compressed,Unknown
SPSS Sampling Plan File,.csplan,Settings Files,Unknown
Protocol Buffer File,.proto,Developer Files,Unknown
Web Gallery Project,.wgp,Web Files,Unknown
Partimage File,.partimg,Disk Images,Unknown
PaintShop Pro Brush File,.pspbrush,Raster Images,Unknown
Mental Ray Image Depth File,.zt,3D Images,Unknown
Solibri Model Checker File,.smc,3D Images,application/vnd.nintendo.snes.rom
Data Flask Grid File,.dfg,Spreadsheet,Unknown
HDML File,.hdm,Web Files,Unknown
CryptoNG Encrypted Archive,.cng,Encoded Files,Unknown
Mac OS X Text Clipping File,.textclipping,Text,Unknown
ArcGIS Explorer Map Content File,.nmc,GIS Files,Unknown
Trusted Platform Module Password File,.tpm,Misc Files,Unknown
