Description,Extension,Category,MIME type
Apache OpenOffice 1.0 Presentation Template,.sti,Metadata Files,application/vnd.sun.xml.impress.template
FileNet eForms Designer Template,.itx,Data Files,Unknown
DTS Settings File,.dtsx,Database Files,Unknown
BerryBuzz Backup File,.bbz,Backup Files,Unknown
NinePatchDrawable Image,.9.png,Raster Images,image/png
Spark AR Project Package,.arprojpkg,3D Images,Unknown
KryptoStorage Container File,.kde,Encoded Files,Unknown
Arch Linux Software Package,.pkg.tar.xz,Compressed,application/x-tar
America's Army Map File,.aao,Game Files,Unknown
Microsoft Help 2 Index File,.hxk,Misc Files,Unknown
TrID Definitions Package,.trd,Data Files,Unknown
CATIA V5 Drawing,.catdrawing,CAD Files,Unknown
Nero CD/DVD Image File,.nrg,Disk Images,Unknown
Picocrypt Encrypted File,.pcv,Encoded Files,Unknown
Ability Write Document,.aww,Text,Unknown
Synclavier Optical Disk Image File,.sopt,Disk Images,Unknown
Extensible Metadata Platform File,.xmp,Misc Files,Unknown
Dreamweaver Site Settings File,.ste,Settings Files,Unknown
PhotoDeluxe Plug-in,.8be,Plugin Files,Unknown
Counter-Strike PODBot Waypoint File,.pwf,Game Files,Unknown
MediaFace Online Saved File,.mfo,Page Layouts,Unknown
Compressed DLL File,.dl_,Compressed,Unknown
Panwrypter Depleted Storage Volume File,.wrypt,Encoded Files,Unknown
Windows Live Photo Gallery Information File,.pd5,Data Files,Unknown
Cyberlink AVCHD Video File,.jts,Video,Unknown
Electronically Certified Document,.edoc,Encoded Files,Unknown
Easy-PhotoPrint EX Calendar File,.el4,Page Layouts,Unknown
Kodi Thumbnail Image,.tbn,Raster Images,Unknown
AutoCAD Ecscad Project Backup File,.ezp,CAD Files,Unknown
Alphacam Flame Drawing,.afd,CAD Files,Unknown
Flight Simulator X Games Explorer File,.fssave,Game Files,Unknown
STEP 3D Model,.step,CAD Files,model/step
SketchBook Pro Animation File,.skba,Misc Files,Unknown
Silicon Imaging Video File,.siv,Video,application/sieve
UIWIX Ransomware Encrypted File,.uiwix,Encoded Files,Unknown
Zetafax Fax Image,.g3f,Raster Images,Unknown
Pleco Chinese Dictionary Backup File,.pqb,Backup Files,Unknown
Hyper-V Virtual Machine Persistent Memory Device,.vhdpmem,Disk Images,Unknown
Grand Theft Auto Text File,.gxt,Settings Files,application/vnd.geonext
WinAce Encrypted File,.xef,Encoded Files,Unknown
LiveSplit Splits,.lss,Game Files,Unknown
Lock File,.lock,Misc Files,Unknown
Photoshop Vanishing Point Export File,.vpe,Raster Images,Unknown
Natron Project File,.ntp,Video,Unknown
Landmark Exchange File,.lmx,Data Files,Unknown
Buttonz & Tilez texture,.til,Images,Unknown
Eudora Address Book File,.nnt,Database Files,Unknown
osu! Skin File,.osk,Game Files,Unknown
Origin Workbook File,.ogw,Spreadsheet,Unknown
Lilith Ransomware Encrypted File,.lilith,Encoded Files,Unknown
2FAS Token Backup,.2fas,Backup Files,Unknown
MadTracker Instrument,.mti,Audio,Unknown
Mixcraft 5 Audio Project,.mx5,Audio,Unknown
Visio Stencil XML File,.vsx,Data Files,Unknown
MindGenius Map File,.mgmf,Vector Images,Unknown
Visual Shader Graph File,.dgsl,Developer Files,Unknown
FoxPro Format File,.fmt,Settings Files,Unknown
Acrobat Batch PDX File,.bpdx,Misc Files,Unknown
FreeHand 4 Drawing File,.fh4,Vector Images,image/x-freehand
Encryptafile Private Key File,.efr,Encoded Files,Unknown
xScope Frames File,.frames,Settings Files,Unknown
Beyond 20/20 Table File,.ivt,Data Files,Unknown
WinAVI Temporary Navigation File,.nav2,Misc Files,Unknown
Windows Media Skin,.wms,Settings Files,Unknown
MU Online Image File,.ozj,Raster Images,Unknown
Linux Kernel Module File,.ko,System Files,Unknown
Karaoke MIDI File,.kar,Audio,audio/midi
PaintCAD Font,.pcf,Font Files,application/x-font-pcf
FreeHand 7 Drawing File,.fh7,Vector Images,image/x-freehand
Tonfotos People Information Database,.tnfp,Database Files,Unknown
No Cache File,.ncf,Game Files,Unknown
Inventor Presentation,.ipn,CAD Files,Unknown
Bulletin Board System Text,.bbs,Text,Unknown
iTunes Podcast File,.pcast,Audio,Unknown
Grasshopper XML Definition,.ghx,3D Images,Unknown
Soft Font Printer File,.sfp,Font Files,Unknown
Ventura Printer Font,.xfn,Font Files,Unknown
Visual Studio Solution File,.sln,Developer Files,Unknown
myBase Database File,.nyf,Database Files,Unknown
Affinity Template,.aftemplate,Page Layouts,Unknown
WebP Image,.webp,Raster Images,image/webp
Echoview File,.ev,Data Files,Unknown
YaST Metapackage File,.ymp,Developer Files,Unknown
DirectorZone Particle Effect File,.dzp,Video,Unknown
Dashcode Project,.dcproj,Developer Files,Unknown
Google Video Pointer,.gvp,Video,Unknown
Windows Composite Font File,.compositefont,Font Files,Unknown
DownloadStudio Incomplete Download,.dstudio,Misc Files,Unknown
Unreal Tournament 2003/2004 Module File,.ut2mod,Game Files,Unknown
PhotoImpact 3 Album,.ab3,Raster Images,Unknown
TI-Nspire CX II Operating System File,.tco2,System Files,Unknown
Strater Template File,.tsf,CAD Files,Unknown
Windows Bitmap Image,.rl8,Images,Unknown
VivaVideo Effect,.xyt,Video,Unknown
HyperSnap Drawing,.dhs,Vector Images,Unknown
Aston Compiled Theme,.atz,Settings Files,Unknown
Hypertext Markup Language Memory File,.html.mem,Web Files,Unknown
Norton Ghost Backup File,.gho,Backup Files,Unknown
RPG Maker VX RGSS Encrypted Archive,.rgssad,Game Files,Unknown
At Home 2009 Tax Return,.t09,Data Files,Unknown
Win96 Database,.p96,Database Files,Unknown
Prelude Rough Cut File,.arcut,Video,Unknown
External Entity,.ent,Developer Files,application/xml-external-parsed-entity
Renamed Zip or Executable File,.efw,Compressed,Unknown
Finale Track-to-Staff Mapping File,.trk,Settings Files,Unknown
Pro Tools Session Template,.ptxt,Audio,Unknown
Dr. Halo Color Palette File,.pal,Raster Images,Unknown
4th Dimension Database Data File,.4dd,Database Files,Unknown
Living Cookbook Backup File,.lcb,Backup Files,Unknown
Windows Dancer File,.dnc,Video,Unknown
vCalendar Event,.vcs,Data Files,text/x-vcalendar
Garmin Checksum File,.sum,Misc Files,Unknown
MPEG-1 Layer 2 Audio File,.m2a,Video,audio/mpeg
FileProtector Encrypted File,.afp,Encoded Files,application/vnd.ibm.modcap
Intellisense Precompiled Header File,.ipch,Developer Files,Unknown
Gather Log File,.gthr,Text,Unknown
Firmware Update File,.dwn,Misc Files,Unknown
Windows Script Host Settings,.wsh,Executable,Unknown
Dzip File,.dz,Compressed,Unknown
MapGuide Author Map Window XML File,.mwx,GIS Files,Unknown
Procreate Dreams Project,.dream,Video,Unknown
KeyValues3 Game Data File,.kv3,Game Files,Unknown
Compressed Android Package,.xapk,Compressed,Unknown
HotDocs Registration File,.hdk,Misc Files,Unknown
Finale Performance Assessment,.fpa,Audio,Unknown
Corel PaintShop Pro Shape Library,.jsl,Vector Images,Unknown
LG Backup File,.lbf,Backup Files,Unknown
Sothink SWF Easy Shape File,.gls,Vector Images,Unknown
Unicode Text File,.utxt,Text,Unknown
Samsung Android Firmware File,.hcd,System Files,Unknown
Werd Ransomware Encrypted File,.werd,Encoded Files,Unknown
Digital Photo Navigator Album,.jia,Raster Images,Unknown
Blizzard StarCraft 2 Archive File,.sc2archive,Game Files,Unknown
Backup File,.bak3,Backup Files,Unknown
Digitally Signed Email Message,.p7s,Text,application/pkcs7-signature
RPM Specification File,.spec,Developer Files,Unknown
AppleScript Script Bundle,.scptd,Executable,Unknown
Sony Ericsson Protected Content,.copy,Audio,Unknown
High Efficiency Image Format,.heif,Raster Images,image/heic
AOL Personal Filing Cabinet,.pfc,Data Files,Unknown
Photoshop Plug-in,.8ba,Plugin Files,Unknown
Google Apps Script Shortcut,.gscript,Text,Unknown
JPEG Image File Format,.jiff,Raster Images,Unknown
DigitalMicrograph Image,.dm3,Raster Images,Unknown
Windows 93 Desktop Shortcut,.lnk42,Text,Unknown
Telegram Animated Sticker File,.tgs,Compressed,Unknown
Photoshop 5.0 Plug-in,.8bc,Plugin Files,Unknown
diagrams.net Diagram File,.drawio,Vector Images,Unknown
SecretPhotos Puzzle Image,.xp0,Images,Unknown
Jarvis Subscriber File,.jarvis,Text,Unknown
YouiDraw Logo Creator Image,.ylc,Vector Images,Unknown
Nero SecurDisc Public Key File,.bpk,Encoded Files,application/octet-stream
LZ4 Compressed File,.lz4,Compressed,Unknown
QlikView Theme File,.qvt,Settings Files,Unknown
Ccrypt Encrypted File,.suf,Encoded Files,Unknown
Android Thumbnails Folder,.thumbnails,System Files,Unknown
QSCX Ransomware Encrypted File,.qscx,Encoded Files,Unknown
BanglaWord Document,.bwd,Text,Unknown
Mailjet Markup Language File,.mjml,Web Files,Unknown
Zipped QGIS Project,.qgz,GIS Files,Unknown
Microsoft DV-AVI Video File,.dv-avi,Video,Unknown
Image Composer File,.mic,Raster Images,Unknown
Time Machine Backup Folder,.backupdb,Backup Files,Unknown
G.723 ADPCM Audio,.g723,Audio,Unknown
FSymbols Draw ASCII Art,.fsymbols-art,Raster Images,Unknown
VodBurner Crude Video File,.vbc,Video,Unknown
HRU Image,.hru,Images,Unknown
Visio Web Drawing,.vdw,Web Files,Unknown
Magik Source Code File,.magik,Developer Files,Unknown
Resource Monitor Configuration File,.resmoncfg,Settings Files,Unknown
EZTitles Subtitles File,.ezt,Video,Unknown
Linux Mint Installer File,.mint,Compressed,Unknown
METAFONT Bitmap File,.gf,Font Files,application/x-tex-gf
Microsoft Resource Library,.rll,Settings Files,Unknown
WordPerfect Macro,.wpk,Executable,Unknown
Siemens Mobile Animations File,.bmx,Raster Images,Unknown
Stardent AVS X Image,.mbfs,Images,Unknown
World File for TIFF,.tfw,GIS Files,Unknown
Pepakura Designer File,.pdo,Page Layouts,Unknown
Elder Scrolls or Fallout 4 Plug-in,.esp,Game Files,Unknown
Blowfish Encrypted File,.bfa,Encoded Files,Unknown
Wax 2.0 Project,.wxp,Video,Unknown
Extended Shell Batch File,.esh,Executable,Unknown
Windows 8 Virtual Hard Drive File,.vhdx,Disk Images,Unknown
Autologic Image,.gm,Images,Unknown
Raw CD Audio File,.di,Disk Images,Unknown
Youtube-dl Video Description,.description,Text,Unknown
AfterShot Pro Plugin Archive,.afzplug,Plugin Files,Unknown
RapidWeaver Plugin,.rwplugin,Plugin Files,Unknown
BlindWrite 6 Track Information File,.b6t,Disk Images,Unknown
yEnc Encoded File,.ync,Encoded Files,Unknown
Painter Raster Image,.riff,Raster Images,Unknown
Squash FS Bootable File,.sqfs,Disk Images,Unknown
WinRAR Multi-Volume Archive Part 1,.r1,Compressed,Unknown
Street Fighter IV Texture File,.tex.emz,Vector Images,Unknown
Apache OpenOffice 1.0 Presentation,.sxi,Presentations,application/vnd.sun.xml.impress
Animal Crossing Wild World Pattern File,.acww,Game Files,Unknown
WordPerfect Address Book,.abx,Database Files,Unknown
Sony Alpha Raw Digital Camera Image,.arw,Camera Raw Image,image/x-sony-arw
ATA Hard Drive Flag File,.atahd,System Files,Unknown
Wii U Disk Image File,.wud,Disk Images,Unknown
AppleScript Scripting Addition,.osax,Plugin Files,Unknown
RandomControl Scene File,.rcs,3D Images,Unknown
Synchomatic Instrument,.syh,Audio,Unknown
InCopy Package File,.icap,Page Layouts,Unknown
Guitar Pro 7 Document,.gp,Audio,Unknown
eCommerce Landing Page,.elp,Page Layouts,Unknown
Compiled Lua Source File,.luc,Developer Files,Unknown
E-Run 1.x Script,.ebs,Executable,Unknown
Windows System Deployment Image,.sdi,Disk Images,Unknown
Perl Header File,.ph,Developer Files,Unknown
Groovy Source Code File,.groovy,Developer Files,Unknown
GameSalad Project File,.gameproj,Developer Files,Unknown
Defold Project Settings File,.project,Game Files,Unknown
Compressed Executable File,.ex_,Executable,Unknown
Image Capture Board Image,.icb,Images,Unknown
Plotagon Project File,.plotdoc,Video,Unknown
Rembo-C Compiled Script,.rbx,Executable,Unknown
Bash History File,.bash_history,System Files,Unknown
LeCroy Binary Waveform File,.xmlper,Data Files,Unknown
CleanApp Archive,.caa,Backup Files,Unknown
Microsoft Word XML Document,.docm,Documents,application/vnd.ms-word.document.macroenabled.12
Leaf Camera RAW Image,.mos,Camera Raw Image,Unknown
HeuristicLab Storage File,.hl,Data Files,Unknown
SynWrite Project,.synw-proj,Settings Files,Unknown
AppleScript File,.applescript,Executable,Unknown
Microsoft Store TokenBroker Cache File,.tbres,System Files,Unknown
Visual Studio Test Metadata File,.vsmdi,Developer Files,Unknown
ZoneAlarm Renamed VB File,.z1,Misc Files,Unknown
Twixl Publisher Article,.article,Page Layouts,Unknown
PlayStation Movie File,.mnv,Video,Unknown
Calendar Builder File,.cbf,Page Layouts,Unknown
Text Document,.wtx,Text,Unknown
VideoStudio Filter File,.vft,Video,Unknown
Unix Section 4 Manual Page,0.4,System Files,Unknown
EZ-R Stats Batch Script,.ezs,Executable,Unknown
Max Payne 2 Mod,.mp2m,Game Files,Unknown
CCleaner Securely Deleted File,.zzz,Misc Files,Unknown
Internet Query,.iqy,Web Files,Unknown
UC Browser Saved Webpage,.uhtml,Web Files,Unknown
Steam Compressed Game Resource File,.ztmp,Game Files,Unknown
Hexagon Model File,.hxn,3D Images,Unknown
Espresso Plug-in,.sugar,Plugin Files,Unknown
Windows Resource File,.res,Developer Files,application/x-dtbresource+xml
Car Mechanic Simulator 3D Car Model File,.cms,3D Images,Unknown
VOCALOID5 Project File,.vpr,Audio,Unknown
Windows Printer Migration File,.printerexport,System Files,Unknown
PowerDesigner Business Process Backup File,.bpb,Backup Files,Unknown
KineMaster Project File,.kine,Video,Unknown
Secure IE Zipped HTML File,.zhtml,Web Files,Unknown
Samsung DVD and Blu-ray Player Firmware File,.ruf,System Files,Unknown
RPG Maker Game Save File,.lsd,Game Files,Unknown
Outlook Internet Account File,.iaf,Settings Files,Unknown
Dynamics AX Developer Documentation File,.add,Misc Files,Unknown
OMSI Spline Configuration File,.sli,Game Files,Unknown
FormsForWeb Extensible Form Package,.xfp,Compressed,Unknown
Artlantis 3D Scene File,.atl,3D Images,Unknown
Apollo HDRU Image,.hdru,Images,Unknown
Propellerhead Reason NN-XT Patch File,.sxt,Audio,Unknown
Kahootz Project File,.ktz,3D Images,application/vnd.kahootz
GIF Video File,.gifv,Video,Unknown
Enpass Data File,.walletx,Backup Files,Unknown
Microsoft Excel Query,.dqy,Database Files,Unknown
JW Library Backup,.jwlibrary,Backup Files,Unknown
SolidWorks Drawing Sheet,.slddrt,Vector Images,Unknown
Visual Studio Licensed Classes File,.licenses,Developer Files,Unknown
Genetec Video File,.g64x,Video,Unknown
QuarkXPress Library,.qxl,Misc Files,application/vnd.quark.quarkxpress
ToolBook Translation System File,.tts,Settings Files,Unknown
ICC Profile,.icc,Settings Files,application/vnd.iccprofile
Guitar Pro 4 Tablature,.gp4,Misc Files,Unknown
7-Zip Compressed File,.7z,Compressed,application/x-7z-compressed
Visual Studio Extension,.vsix,Plugin Files,Unknown
RealOne Streaming Media File,.r1m,Audio,Unknown
Ulead GIF Animator File,.uga,Raster Images,Unknown
Ecchi Image,.ecc,Images,Unknown
jMonkeyEngine 3D Scene,.j3o,3D Images,Unknown
Shared Library,.so,Developer Files,application/octet-stream
iMovie '08 Project,.rcproject,Video,Unknown
InfoPath Form Template File,.xsn,Page Layouts,Unknown
finalRender Plugin,.dlr,Plugin Files,Unknown
Windows Accessibility Wizard File,.acw,Settings Files,Unknown
BibTeX Generated Bibliography File,.bbl,Misc Files,Unknown
StuffIt Archive,.sit,Compressed,application/x-stuffit
Brother PE Embroidery Format,.pes,Misc Files,Unknown
POD HD500 Edit Bundle,.h5b,Audio,Unknown
ERDAS LAN File,.lan,GIS Files,Unknown
PhotoSuite Slide Show File,.pssd,Video,Unknown
KGB Archive File,.kgb,Compressed,Unknown
GEDCOM Genealogy Data File,.ged,Data Files,text/vnd.familysearch.gedcom
Premiere 6 Project File,.ppj,Video,Unknown
Linux Trash Metadata File,.trashinfo,System Files,Unknown
BYOB Sprite File,.ysp,Raster Images,Unknown
Compressed Breath of the Wild Model File,.sbfres,3D Images,Unknown
SQL Server Secondary Database File,.ndf,Database Files,Unknown
File Description File,.ion,System Files,Unknown
FMAT Runfile,.fmat,Data Files,Unknown
Dalim Virtual Library File,.dvl,Raster Images,Unknown
Expression Web Add-in,.xadd,Plugin Files,Unknown
Rich Text Format Directory File,.rtfd,Text,Unknown
Multi-Purpose Internet Mail Message File,.mim,Encoded Files,Unknown
VITec Image,.vit,Images,Unknown
Atari ST Disk Image,.st,Disk Images,application/vnd.sailingtracker.track
FastCGI File,.fcgi,Web Files,Unknown
Core Audio File,.caff,Audio,Unknown
Visual Studio Solution Source Control File,.vssscc,Developer Files,Unknown
Freeway Template Bundle,.fwtb,Web Files,Unknown
Virtual Villagers Saved Game File,.ldw,Game Files,Unknown
Pocket Word Document,.pwi,Text,Unknown
Psycle Song File,.psy,Audio,Unknown
Winamp Equalizer Presets File,.q1,Audio,Unknown
Sticker Maker Sticker Pack,.wastickers,Compressed,Unknown
Open Document Interchange Format,.odif,Text,Unknown
Photoshop Plug-in,.8bi8,Plugin Files,Unknown
DVD Label Template Media File,.ztr,Misc Files,Unknown
Player Studio Viewer Item File,.soepsx,Game Files,Unknown
Greeting Card Studio Design Project,.gcdp,Raster Images,Unknown
HTTP Injector Config File,.ehi,Settings Files,Unknown
Baidu SDK File,.cuid,Encoded Files,Unknown
Steam Application Cache File,.acf,Game Files,Unknown
Sakura VisionTek Slide Image,.svslide,Raster Images,Unknown
DemoShield Project,.dbd,Data Files,Unknown
MPEG-1 Audio Layer II,.mp2,Audio Files,audio/mpeg
Capture One Preset File,.copreset,Settings Files,Unknown
ACT! Lookup File,.alf,Database Files,Unknown
Bean Markup Language File,.bml,Web Files,Unknown
ASiC-Extended Data Container,.asice,Compressed,application/vnd.etsi.asic-e+zip
DivX Author Template File,.tda3mt,Video,Unknown
Troubleshooting Pack Configuration File,.diagcfg,System Files,Unknown
Qdv (Random Dot Software) Image,.qdv,Images,Unknown
Hydrogen Song,.h2song,Audio,Unknown
Clip Gallery Packaged File,.cil,Vector Images,application/vnd.ms-artgalry
EGO Engine Textures File,.pssg,Game Files,Unknown
ArcGIS Map Package,.mpk,GIS Files,Unknown
SuperKaramba Theme,.skz,Settings Files,Unknown
Zipped File,.piz,Compressed,Unknown
FreeBSD Compressed Disk Image,.uzip,Compressed,Unknown
HTML5 Content Package,.h5p,Web Files,Unknown
TitanTV Television Listing File,.tvvi,Web Files,Unknown
Revit Project File,.rvt,Data Files,Unknown
Google Drawings Shortcut,.gdraw,Misc Files,Unknown
HDRtist Pro Document,.hdrp,Raster Images,Unknown
Google Docs Shortcut,.gdoc,Text,Unknown
Kontakt Audio Bank,.nkb,Audio,Unknown
U2K Ransomware Encrypted File,.u2k,Encoded Files,Unknown
Camtasia Studio Asset Information File,.assetproj,Plugin Files,Unknown
QlikView Data File,.qvd,Database Files,application/vnd.theqvd
KIT Scenarist Project,.kitsp,Page Layouts,Unknown
DTED Level 0 File,.dt0,GIS Files,Unknown
3ds Max XML Animation Map File,.xmm,3D Images,Unknown
Pixar Image,.picio,Images,Unknown
ConceptDraw DIAGRAM Template (Legacy),.cdt,Vector Images,image/x-coreldrawtemplate
MySQL Database Data File,.myd,Database Files,Unknown
Wanam Xposed Backup File,.wx,Backup Files,Unknown
CryptXXX Ransomware Encrypted File,.crypt,Encoded Files,Unknown
Scratch 2.0 Sprite File,.sprite2,Raster Images,Unknown
OpenMPT Module,.mptm,Audio,Unknown
Corel Quattro Pro 7 and 8 File,.wb3,Data Files,Unknown
Adaptive Multi-Rate Codec File,.amr,Audio,audio/AMR
Visual Studio Deployment Project,.vdp,Developer Files,Unknown
Adobe Lightroom Web Gallery File,.lrwebengine,Plugin Files,Unknown
Zipped File,.zip,Compressed,application/zip
Zipped File,.zip,Compressed,application/x-zip-compressed
Zipped File,.zip,Compressed,application/zip-compressed
Borland Reflex Database,.r2d,Database Files,Unknown
Host Blocking File,.msn,Settings Files,Unknown
ASAP2 ECU Description File,.a2l,CAD Files,application/A2L
Minecraft Anvil Region,.mca,Game Files,Unknown
Keyman Developer Encrypted Keyboard File,.kxx,Encoded Files,Unknown
Mass Effect Player Profile,.masseffectprofile,Game Files,Unknown
WebBlender Project File,.wbs,Web Files,application/vnd.criticaltools.wbs+xml
Pencil Document,.ep,Vector Images,application/vnd.bluetooth.ep.oob
Microarray Annotation File,.chip,Spreadsheet,Unknown
Zinio Electronic Magazine File,.zno,Page Layouts,Unknown
VideoPad Video Editor Project File,.vpj,Video,Unknown
HotDocs Form Document,.hfd,Page Layouts,Unknown
Matroska Video,.mkv,Video,video/x-matroska
Avast Soundpack File,.avastsounds,Audio,Unknown
Norton Ghost Virtual Volume Image,.v2i,Backup Files,Unknown
FoxPro Project,.pjx,Developer Files,Unknown
Design Web Format File,.dwf,3D Images,model/vnd.dwf
Harvard Graphics DOS Chart File,.ch3,Page Layouts,Unknown
USBlyzer Data Capture File,.ulz,Data Files,Unknown
Sound Designer Audio File,.dig,Audio,Unknown
Mozilla Firefox Session File,.session,Text,Unknown
TextMaker Document,.tmdx,Text,Unknown
Opterecenja File,.opt,CAD Files,Unknown
Quick Pallet Maker Input Data,.qpm,CAD Files,Unknown
FlexiWrite Document,.dfti,Text,Unknown
SMART Response Teacher Database File,.teacher,Database Files,application/vnd.smart.teacher
Message Studio Text File,.mstxt,Game Files,Unknown
Fallout Mod Archive,.fomod,Game Files,Unknown
AFF Disk Image,.aff,Disk Images,audio/aiff
Clustify Input File,.cyi,Text,Unknown
C++ Inline File,.inl,Developer Files,Unknown
GEMS Engine Control Unit File,.gin,Settings Files,Unknown
Team Manager Meet Event File,.hyv,Data Files,Unknown
CCTV DVR Video,.dav,Video,Unknown
Fortran 90 Source Code File,.f90,Developer Files,text/x-fortran
Qworum Message File,.qrm,Web Files,Unknown
HLSW Shared Server List File,.sslf,Misc Files,Unknown
Windows App Bundle,.appxbundle,Developer Files,Unknown
N64 Game ROM File,.rom,Game Files,Unknown
Logos Library System File,.lix,Data Files,Unknown
Unix Shar Archive,.shar,Compressed,application/x-shar
OpenStreetMap Binary Map File,.osb,GIS Files,Unknown
Unreal Engine 3 Texture File Cache,.tfc,Raster Images,Unknown
Delphi Package,.dpk,Developer Files,Unknown
XLIFF Document,.xlf,Data Files,application/xliff+xml
TurboCAD Drawing Lock File,.dwl,Misc Files,Unknown
Unreal Engine Map File,.udk,Game Files,Unknown
PHP 4 Web Page,.php4,Web Files,Unknown
Unreal Static Meshes,.usx,Game Files,Unknown
Unreal Tournament 2003 Saved Game,.uvx,Game Files,application/vnd.dece.unspecified
Seedvault Backup Metadata File,.backup.metadata,Backup Files,Unknown
Synfig Studio Compressed Project,.sifz,Compressed,Unknown
Synclavier Sound File,.ssnd,Audio,Unknown
7ev3n Ransomware Encrypted File,.r5a,Encoded Files,Unknown
Broderbund Print Meta Object File,.pmo,Data Files,Unknown
Blaze Audio Wave Information File,.bap,Audio,Unknown
Windows Bitmap Image,.bmp,Images,image/bmp
Avery DesignPro Label File,.zdp,Page Layouts,Unknown
Pro Tools Clip Group File,.cgrp,Audio,Unknown
AirZip FileSECURE File,.azs,Encoded Files,application/vnd.airzip.filesecure.azs
LSS16 Image,0.16,Images,Unknown
Audio Interchange File Format,.aiff,Audio,audio/aiff
JPEG World File,.jgw,GIS Files,Unknown
High Efficiency Image Format,.heic,Raster Images,image/heic
TI-84 Plus C Image Var Format,.8ca,Raster Images,Unknown
Quake or Source Engine Game Map,.bsp,Game Files,model/vnd.valve.source.compiled-map
Magnex Firmware File,.mmv,System Files,Unknown
StorageSync Backup Archive,.bpa,Backup Files,Unknown
Ancestral Quest Backup Database File,.aqz,Backup Files,Unknown
Dynamics NAV Object Container File,.fob,Data Files,Unknown
Raw 32-Bit Audio File,.f32,Audio,Unknown
Sound Clip Archive,.ssm,Audio,Unknown
TurboTax 2018 Tax Return,.tax2018,Data Files,Unknown
Xiosis Scribe Document,.xbdoc,Text,Unknown
3DMark Results File,.3dr,Data Files,Unknown
ERWin Entity Relationship Diagram,.er1,Data Files,Unknown
Unix Shared Library File,.so.0,System Files,Unknown
XML Stylesheet,.xsl,Data Files,application/xml
Self-Extracting Archive,.sea,Compressed,Unknown
Nexus 3D Model,.nxs,3D Images,Unknown
Traktor Collection File,.nml,Audio,application/vnd.enliven
Ventrilo Audio Recording,.vrf,Audio,Unknown
S.T.A.L.K.E.R. Properties File,.ltx,Game Files,text/x-tex
Maya Embedded Language Script,.mel,Executable,Unknown
Liquid XML Studio Project Options File,.lxsopt,Settings Files,Unknown
KONTAKT Instrument File,.nki,Audio,Unknown
PocketVok Vocabulary File,.vok,Data Files,Unknown
Lotus 1-2-3 SmartMaster File,.12m,Spreadsheet,Unknown
ShadowProtect Full Backup File,.spf,Backup Files,application/vnd.yamaha.smaf-phrase
3D World Studio Environment,.3dw,3D Images,Unknown
DTED Level 1 File,.dt1,GIS Files,Unknown
Automator Converter Action,.caction,Executable,Unknown
Xbox 360 Binary User Interface File,.xur,Settings Files,Unknown
Drive Snapshot Backup Continuation 2,.sn2,Backup Files,Unknown
TopSolid Design Document,.top,CAD Files,Unknown
F.E.A.R. Game Archive,.arch00,Game Files,Unknown
Java Enterprise Archive File,.ear,Executable,Unknown
Symbian OS Font File,.gdr,Font Files,Unknown
AutoCAD DesignCenter Preview Cache File,.cdc,Raster Images,Unknown
FoxPro Compiled Program Menu,.mpx,Developer Files,Unknown
Rave Reports Project File,.rav,Developer Files,Unknown
QuickTax 2009 Tax Return,.q09,Data Files,Unknown
Sketchpad Drawing File,.sketchpad,Vector Images,Unknown
KDevelop Project Data File,.kdevelop,Developer Files,Unknown
CyberLink PowerDVD Playlist,.playlist,Video,Unknown
Merry X-Mas Ransomware Encrypted File,.merry,Encoded Files,Unknown
PowerFlip 3D Image File,.yaodl,3D Images,Unknown
AutoPlay Media Studio 5 Project File,.am5,Developer Files,Unknown
StarView Metafile,.svm,Vector Images,Unknown
Nbes Ransomware Encrypted File,.nbes,Encoded Files,Unknown
Office Data Connection File,.odc,Settings Files,application/vnd.oasis.opendocument.chart
KPresenter Presentation,.kpr,Data Files,application/vnd.kde.kpresenter
XNA Creators Club Game Package,.ccgame,Developer Files,Unknown
FreeCAD Document,.fcstd,CAD Files,Unknown
WN Web File,.wn,Web Files,Unknown
Oracle VM VirtualBox Settings Backup File,.vbox-prev,Backup Files,Unknown
ClipArt Gallery Package,.cag,Vector Images,Unknown
QuickBooks Network Data File,.nd,Settings Files,Unknown
Zoner Zebra Metafile,.zbr,Images,Unknown
WiX Localization File,.wxl,Developer Files,Unknown
Outlook Offline Data File,.ost,Misc Files,Unknown
Unix Section 1 Manual Page,0.1,System Files,Unknown
ThinkFree Online Note Document,.docz,Text,Unknown
ShareX Image Effect File,.sxie,Settings Files,Unknown
GraphClick File,.gc,Data Files,Unknown
Unix Section 6 Manual Page,0.6,System Files,Unknown
Screen Sharing VNC Internet Location,.vncloc,Misc Files,Unknown
WinFAX Image,.wfx,Images,Unknown
Doctor V64 Nintendo 64 Game ROM,.v64,Game Files,Unknown
Freeway Template,.fwtemplate,Web Files,Unknown
Xara Web Designer Graphic,.xws,Web Files,Unknown
Palm Query Application,.pqa,Database Files,application/vnd.palm
Navisworks File Set,.nwf,CAD Files,Unknown
Netflix Video File,.nfv,Video,Unknown
Cubase Expression Map File,.expressionmap,Audio,Unknown
Minecraft Bedrock Edition Add-On,.mcpack,Game Files,Unknown
QuickBooks License File,.qbl,Text,Unknown
ALZip Archive,.alz,Compressed,Unknown
Command & Conquer 3 Replay File,.kwreplay,Game Files,Unknown
VC-1 Video File,.vc1,Video,Unknown
Adobe Flash Protected Media File,.f4p,Video,Unknown
SEO Note File,.seo,Data Files,Unknown
