Extension,Metadata,Category,MIME Type
.mjp2,JPEG 2000 motion sequence format (ISO 15444-3),Video,video/mj2
.tgv,Electronic Arts video data,Video,
.3mm,Microsoft 3D Movie Maker video,Video,
.gmm,Global Mobile Media media data,Video,
.gts,CaptiveWorks PVR video recording format,Video,
.rsv,Sony unfinished video recording,Video,
.dv,Digital video file,Video,
.avd,MAGIX Movie Edit Pro video data,Video,
.m1v,Moving Pictures Experts Group video (MPEG-1 IPB),Video,video/mpeg
.w32,WinCAPs subtitles,Video,
.mvy,MAGIX Video easy project,Video,
.dlx,Sony VDU file format importer,Video,
.44,Clipstream 32 Kb stream,Video,
.fli,Autodesk Animator FLIC animation (old format),Video,video/x-fli
.divx,DivX Media Format,Video,
.flc,AutoDesk FLIC format,Video,
.lsx,Advanced Streaming Redirector,Video,
.rax,RealMedia streaming data,Video,
.ogm,Ogg Vorbis media,Video,
.ivm,Interactive Visual Media video format,Video,
.mvd,Movie Edit Pro video file,Video,
.mpegps,MPEG program stream format,Video,
.pxm,PCSX Rerecording captured movie,Video,
.dtv,DVD2AVI mpeg2 data,Video,
.bsf,AVC Blu-ray video format,Video,
.video,aTube Catcher video data,Video,
.wtv,Windows Media Center TV recording,Video,
.mep,Movavi Video Editor project (version 10 or older),Video,
.hmv,Houdini movie file,Video,
.ilm,Opus Creator multimedia data,Video,
.m2v,MPEG-2 packetized elementary stream,Video,video/mpeg
.60d,CCTV video clip,Video,
.iva,Surveillance video file,Video,
.xmv,Microsoft Xbox video data,Video,
.san,LucasArts Smush Animation Format,Video,
.ty,TiVo video stream,Video,
.mpg2,MPEG-2 video,Video,
.rca,RCA digital recorder format,Video,
.263,H.263 encoded video,Video,
.ssm,RealAudio standard streaming metafile,Video,
.mcv,Mac Video file,Video,
.epj,EDIUS Pro project,Video,
.htd,HyperTRANSCRIBE project,Video,
.rec_part1,Walker File format video data,Video,
.iis,PHOTOfunSTUDIO HD video data,Video,
.mqv,Sony Movie Player file format,Video,
.vp8,VP8 video codec video,Video,
.rtv,NewTek uncompressed video data,Video,
.vcl,Roxio Video CD layout,Video,
.kmv,Mobile DJ video data,Video,
.rvl,muvee project,Video,
.s2e,SWF to EXE Converter project,Video,
.m-jpeg,M-JPEG data,Video,
.dmss,Roxio Creator VideoWave slideshow project,Video,
.smv,VideoLink saved mail video,Video,
.ratDVD,ratDVD commpressed DVD movie,Video,
.xpv,Integral video data,Video,
.mpcpl,Media Player Classic's playlist,Video,
.cvc,cVideo data,Video,
.603,GANZ video compression data,Video,
.h263,H.263 video format,Video,video/h263
.mepj,Movavi Video Editor project (version 23 or above),Video,
.lsproj,LoiLoScope project,Video,
.flexolibrary,Final Cut Pro or Apple iMovie library,Video,
.k3g,GOM Player multimedia data,Video,
.npv,Pixbend Player pixbend media file,Video,
.mkv3D,Matroska 3D video format,Video,
.m2s,MPEG-2 video stream,Video,
.xvw,XVW export file,Video,
.nde,Surveillance video file format,Video,
.hgd,IP camera video,Video,
.sbs,3D side by side movie,Video,
.theater,iMovie theater library,Video,
.vg2,Media Player Classic video data,Video,
.gir,Gens Plus! movie file,Video,
.imovietrailer,Apple iMovie video data,Video,
.gvi,Google video,Video,
.cx3,CMS video data,Video,
.dgw,Digi-Watcher video data,Video,
.dvx,DivX movie,Video,
.bdtp,BaiduPlayer media data,Video,
.ivs,Internet streaming video,Video,
.vep4,AVS Video Editor project,Video,
.mv4,Apple QuickTime video,Video,
.dcr,Liberty video recording,Video,image/x-kodak-dcr
.890,Cavena subtitles data,Video,
.vod,WorldGroup Manager Video On Demand movie,Video,
.ipr,Apple LiveType animation,Video,
