Extension,Metadata,Category,MIME Type
.ti,Timber compiler,Source code and script,
.rml,Redline Markup Language source,Source code and script,
.seam,Seam Framework JAVA servlet file,Source code and script,
.diff,Diff source data,Source code and script,text/plain
.lisp,LISP translators file,Source code and script,
.mlv,LabVIEW Mathscript data,Source code and script,
.scb,Scala InfoChannel published script,Source code and script,
.proto,Google Protocol Buffers buffer file,Source code and script,
.isu,InstallShield uninstall script,Source code and script,
.dep,Microsoft Visual Basic Setup Wizard dependency data,Source code and script,
.rule,Visual C++ project rules,Source code and script,
.lss,LotusScript source code file,Source code and script,
.pag,Visual Basic property PAGe data,Source code and script,
.cpr,INMOS transputer development system occam program code,Source code and script,
.obj,Microsoft Visual Studio object,Source code and script,application/octet-stream
.egg-info,Python Egg data,Source code and script,
.cbl,Cobol language source code,Source code and script,
.lol,Lolcode source data,Source code and script,
.bb,Blitz Basic source code,Source code and script,
.bxml,Bean XML file,Source code and script,
.bbc,BBC BASIC for Windows data,Source code and script,
.pdo,Microsoft Access Package and Deployment Wizard script,Source code and script,
.vb,Microsoft Visual Studio Visual Basic script,Source code and script,
.txml,commerce eXtensible Markup Language,Source code and script,
.ppa,Microsoft PowerPoint 97 to 2003 add-in,Source code and script,application/vnd.ms-powerpoint
.vd,PwrDev visual designer project file,Source code and script,
.odc,Microsoft Office database connection data,Source code and script,application/vnd.oasis.opendocument.chart
.jl,Julia source code,Source code and script,
.cobol,Micro-Focus Cobol data,Source code and script,
.wsdl,Microsoft Visual Studio Web Service Description Language,Source code and script,application/wsdl+xml
.cml,Chemical Markup Language document,Source code and script,chemical/x-cml
.rh,C++ resource header data,Source code and script,
.build,NAnt Build Tool data,Source code and script,
.dev,Dev-C++ project,Source code and script,
.ide,Borland C++ project,Source code and script,
.gml,Graphlet Graphscript data file,Source code and script,
.jsdtscope,Eclipse JavaScript development data,Source code and script,
.datasource,Microsoft Visual Studio data source,Source code and script,
.qs,Qt script file,Source code and script,
.bsc,Microsoft Visual Studio Visual C++ source browser information data,Source code and script,
.jbi,Motoman robot job,Source code and script,
.cg,nVidia CgFX program,Source code and script,
.gch,C++ precompiled header,Source code and script,
.dqy,Microsoft Excel ODBC query,Source code and script,
.hpf,High Performance FORTRAN data,Source code and script,
.hx,Haxe source code file,Source code and script,
.dpk,Delphi package source,Source code and script,
.nbk,NovaBACKUP script,Source code and script,
.dts,Linux Device Tree source,Source code and script,audio/vnd.dts
.gnt,Micro Focus COBOL generated code,Source code and script,
.dbp,Microsoft Visual Studio Visual C++ database project,Source code and script,
.aidl,Google Android AIDL interface definition language data,Source code and script,
.hxp,haXe project,Source code and script,
.psd1,Microsoft Windows PowerShell data,Source code and script,
.tpl,PHP template file format,Source code and script,application/vnd.groove-tool-template
.lds,Linux compile time header data,Source code and script,
.mkb,Marmalade SDK project,Source code and script,
.btq,Teradata Database query script,Source code and script,
.gcl,GNU Common Lisp data,Source code and script,
.lpx,LaTeXPiX script,Source code and script,
.pbl,PowerBuilder source code library,Source code and script,
.bmo,SIMATIC WinCC script,Source code and script,
.vbi,IntelliCAD VBA script file,Source code and script,
.twig,Twig source data,Source code and script,
.exp,Microsoft Visual C++ export file,Source code and script,
.pl,PROLOG language source code file,Source code and script,text/plain
.pbxproj,Apple Project Builder Xcode project,Source code and script,
.qry,Database query,Source code and script,
.thtml,THTML file,Source code and script,
.shfbproj,Sandcastle Help File Builder project,Source code and script,
.hkp,Mentor Graphics database,Source code and script,
.uix,uiXML page file,Source code and script,
.ipf,Microsoft SMS installer script,Source code and script,
.vcp,Microsoft Visual Studio Visual C++ project,Source code and script,
.fwx,FoxWeb script,Source code and script,
.ada,ADA language source code,Source code and script,
.cbp,Code::Blocks project,Source code and script,
.kts,Kotlin source code,Source code and script,
.ssi,HTML with server side includes,Source code and script,
.brs,Batchrun batch,Source code and script,
.gvy,Groovy script,Source code and script,
.kd,Koara source code,Source code and script,
.bgm,Basic4GL 3D object,Source code and script,
.mg,Modula-3 generic module source,Source code and script,
.cson,CoffeeScript object notation,Source code and script,
.iml,IntelliJ IDEA module,Source code and script,
.asz,LoseThos assembly source code,Source code and script,
.bax,Bluebeam Revu markup document,Source code and script,
.pch,Microsoft Visual Studio Visual C++ precompiled header,Source code and script,
.nk,NUKE script,Source code and script,
.arq,BSM Action Request System client macro,Source code and script,
.targets,MSBuild targets file,Source code and script,
.rkt,Racket information module,Source code and script,
.uvproj,µVision4 project,Source code and script,
.mak,Makefile,Source code and script,
.styl,Stylus CSS script,Source code and script,
.tmh,Trace message header,Source code and script,
.param,CASTEP script,Source code and script,
.depend,Code::Blocks project support file,Source code and script,
.dproj,Delphi project,Source code and script,
.sca,Scala InfoChannel script,Source code and script,
.jade,Jade programming language source code,Source code and script,
.irb,Interactive Ruby script,Source code and script,
.apb,Alphacam punch VB macro,Source code and script,
.mrs,Corel WordPerfect macro resource data,Source code and script,
.amw,Alcorn McBride show controller data,Source code and script,
.master,ASP.NET master page file,Source code and script,
.zrx,ZOC REXX script,Source code and script,
.vbx,Microsoft Visual Basic Extension,Source code and script,
.wml,Wireless Markup Language document (WAP),Source code and script,text/vnd.wap.wml
.mel,Maya Embedded Language,Source code and script,
.tru,True Basic source,Source code and script,
.cob,COBOL programming language source,Source code and script,
.bms,QuickBMS script,Source code and script,
.srz,DataFlex source code,Source code and script,
.akt,Aksharamala keymap source,Source code and script,
.factorypath,Eclipse factorypath data,Source code and script,
.pyx,Pyrex source code,Source code and script,
.mec,Maximus MECCA source file,Source code and script,
.f95,Fortran 95 language source code file,Source code and script,
.kv,Kivy language data,Source code and script,
.ror,Resources of a Resource file format,Source code and script,
.inp,gretl script,Source code and script,
.obj,Intel (Object Module Format) relocatable object module,Source code and script,application/octet-stream
.idl,Visual Studio Visual C++ interface definition library,Source code and script,
.wsf,Windows Script,Source code and script,
.textile,Eclipse IDE WikiText document,Source code and script,
.tkp,MicroImages SML script standalone application,Source code and script,
.abap,ABAP source code,Source code and script,
.fountain,Fountain script,Source code and script,
.owl,OWL (Obfuscated Weird Language) source code,Source code and script,
.tpm,TextPad macro file,Source code and script,
.gypi,Google Chrome include data,Source code and script,
.bcc,Borland C++ file/makefile,Source code and script,
.kst,Olivetti Olitext Plus script,Source code and script,
.coveragexml,Microsoft Visual Studio code coverage data,Source code and script,
.btproj,Microsoft BizTalk Server project,Source code and script,
.axs,ActiveX script,Source code and script,
.pym,PYM Python preprocessor macro,Source code and script,
.cbs,Comodo Backup script,Source code and script,
.dob,Microsoft Visual Basic user document form,Source code and script,
.xme,GME data,Source code and script,
.htc,HTML component,Source code and script,
.clm,Micrografx Picture Publisher macro,Source code and script,
.cx,CodeMapper script,Source code and script,
.rob,Wintask compiled program,Source code and script,
.ocb,Origin precompiled Origin C source code,Source code and script,
.rproj,RStudio project,Source code and script,
.sdl,Corel Paradox script,Source code and script,
.kmt,Kermeta file,Source code and script,
.vbscript,Visual Basic script,Source code and script,
.hlsl,High Level Shader Language source code,Source code and script,
.pxml,OpenPandora XML file,Source code and script,
.aiml,Artificial Intelligence Markup Language,Source code and script,
.vpc,ViziGen source code,Source code and script,
.xui,Xbox 360 skin file,Source code and script,
.a2w,Alice program world data,Source code and script,
.dso,Microsoft Visual Studio workspace data,Source code and script,
.trt,Team Sports Scheduling System report template,Source code and script,
.cos,Creatures source code,Source code and script,
.edml,EDML Parser-Library file,Source code and script,
.cd,Visual Studio class diagram,Source code and script,
.din,DataEase installation script,Source code and script,
.cp,Xcode C++ source code,Source code and script,
.pli,PL/I program source code,Source code and script,
.d4,Dataphor source data,Source code and script,
.xn,Cygnus ld-scripts,Source code and script,
.cgx,ARM RL-TCPnet HTTP Web Server XML web page update script,Source code and script,
.cpz,LoseThos C+ source data,Source code and script,
.ps2,Microsoft Windows Shell script,Source code and script,
.greenfoot,Greenfoot project,Source code and script,
.rdf,Oracle report binary source,Source code and script,application/rdf+xml
.svn-base,Apache Subversion base file,Source code and script,
.ttl,Tera Term macro,Source code and script,
.xpdl,XML Process Definition Language data,Source code and script,application/xml
.bsv,Bluespec System Verilog data,Source code and script,
.ulp,EAGLE script,Source code and script,
.ash,Turbo Assembler (TASM) header,Source code and script,
.mscr,CuteFTP script,Source code and script,
.rc2,Microsoft Visual Studio non-compilable resource script,Source code and script,
.dbmdl,Microsoft Visual Studio database project,Source code and script,
.awd,AWK language source code,Source code and script,
.wpk,Corel WordPerfect macro,Source code and script,
.frt,GP-Forth language source code,Source code and script,
.shit,Bourne Shell Server Page,Source code and script,
.m,"MatLab function, commands, script",Source code and script,
.scala,Scala source file,Source code and script,
.zsc,EditPad zMUD script,Source code and script,
.ksc,Korg Trinity script,Source code and script,
.ecore,Kermeta ecore diagram,Source code and script,
.asc,Adobe Flash ActionScript communications scripts,Source code and script,application/pgp-signature
.a,Ada programming language source code,Source code and script,application/octet-stream
.gss,Geometer's Sketchpad script,Source code and script,
.uvprojx,µVision project,Source code and script,
.ary,SmartStart scripting toolkit data,Source code and script,
.ksh,Unix shell script,Source code and script,text/plain
.m6m,Mazatrol language M640M NC unit,Source code and script,
.jardesc,Eclipse JAR settings,Source code and script,
.xbs,XnView script,Source code and script,
.dhtml,Dynamic HTML document,Source code and script,
.tgml,Tecumseh Group Markup Language source code,Source code and script,
.zpd,ABC zeroadic predicates,Source code and script,
.osg,OSGJS JSON input file,Source code and script,
.ipy,IPython script,Source code and script,
.vbw,Microsoft Visual Studio Visual Basic workspace,Source code and script,
.jsonp,JSON-with-padding source code,Source code and script,
.wsdd,Apache Axis Web Service Deployment Descriptor (WSDD),Source code and script,
.vjp,Microsoft Visual J++ project,Source code and script,
.ssq,ODBC script,Source code and script,
.wxs,WiX source data,Source code and script,
.tik,Game texture script,Source code and script,
.odl,Visual C++ ODL type library source,Source code and script,
.sxs,SAS Stat Studio module source code,Source code and script,
.gyp,Google Chromium GYP input configuration,Source code and script,
.vup,Visual C++ utility project,Source code and script,
.tcz,PSTextMerge script,Source code and script,
.fsi,Microsoft Visual F# signature data,Source code and script,
.xjb,OEPE JAXB Wizard bindings data,Source code and script,
.cuh,CUDA header,Source code and script,
.gfa,GFA-BASIC tokenized source,Source code and script,
.ehi,Evozi HTTP Injector configuration,Configuration file,
.cfg,Configuration files,Configuration file,
.pro,Profile file,Configuration file,
.mobileconfig,Apple mobile configuration profile,Configuration file,
.conf,Configuration information,Configuration file,text/plain
.ini,Text configuration data,Configuration file,
.mmrc,MADRIX MIDI remote configuration file,Configuration file,
.config,Configuration data,Configuration file,
.ica,Citrix ICA configuration,Configuration file,
.net,Network configuration,Configuration file,
.reg,Windows registry data,Configuration file,
.pb,PowerBASIC configuration data,Configuration file,
.devicemetadata-ms,Windows Device Metadata device package,Configuration file,
.pcf,Cisco VPN Client configuration,Configuration file,application/x-font-pcf
.rdg,Microsoft Remote Desktop Connection Manager configuration,Configuration file,
.cnf,Network configuration data,Configuration file,
.vpn,WinGate VPN configuration,Configuration file,
.jsc,JavaScript configuration,Configuration file,
.dsc,Debian source control data,Configuration file,text/prs.lines.tag
.vv,Virt Viewer configuration,Configuration file,
.yaml,YAML source code,Configuration file,application/yaml
.ovpn,OpenVPN config file,Configuration file,
.dbc,OrCAD capture CIS database configuration file,Configuration file,
.ecu,TunerPro ECU configurator data,Configuration file,
.tll,LG TV Link-Loader configuration file,Configuration file,
.dvp,AutoCAD device parameter file format,Configuration file,
.rdp,Microsoft Windows Remote Desktop Connection settings,Configuration file,
.mobileprovision,iOS mobile device provisioning profile,Configuration file,
.qwc,QuickBooks Web Connector configuration,Configuration file,
.rak,Sensor+ CEM+ rack configuration,Configuration file,
.fp,Microsoft FoxPro configuration,Configuration file,
.proxy,Proxy configuration,Configuration file,
.ch,OS/2 configuration,Configuration file,
.evm,Microsoft Windows session configuration,Configuration file,
.ypf,YahELite configuration,Configuration file,
.gitconfig,Git configuration,Configuration file,
.bitcfg,Passmark configuration data,Configuration file,
.status,Status data,Configuration file,
.mxd,MX Editor remote control device configuration,Configuration file,
.dno,DriveExecutive configuration,Configuration file,
.ora,Oracle database parameter configuration data,Configuration file,
.ccf,OS/2 Multimedia Viewer configuration data,Configuration file,
.bfd,Linux BFD rules configuration data,Configuration file,
.sublime-workspace,Sublime Text workspace settings,Configuration file,
.scf,Windows Explorer shell command file,Configuration file,
.bootstrap,Adobe HTTP Dynamic Streaming bootstrap,Configuration file,
.launch,Zend Studio debugger configuration data,Configuration file,
.iuux,Powerflex configuration,Configuration file,
.yt,yt Project configuration,Configuration file,
.pdk,PC Desktop Cleaner configuration,Configuration file,
.tsp,Microsoft Windows Telephony Service Provider settings,Configuration file,
.gsd,Generic Station Description,Configuration file,
.ld,Telix long distance codes data,Configuration file,
.cnn,ADO-network connection configuration data,Configuration file,
.wbx,Mikrotik RouterOS configuration,Configuration file,
.fpw,FoxPro configuration,Configuration file,
.tsk,Windows Mobile skin or theme,Configuration file,
.opf,KEPServerEX project configuration,Configuration file,application/oebps-package+xml
.bgi,BGInfo configuration,Configuration file,
.td,Turbo Debugger for DOS configuration data,Configuration file,
.helpcfg,Adobe AIR help configuration,Configuration file,
.ptg,PowerTeacher Gradebook configuration,Configuration file,
.mhc,MPLAB Harmony configuration data,Configuration file,
.chat,Online chat configuration,Configuration file,application/x-chat
.nd,QuickBooks network data configuration,Configuration file,
.ini2,Text configuration,Configuration file,
.axc,Microsoft Dynamics AX configuration,Configuration file,
.spd,Adobe PostScript printer mini driver,Configuration file,
.cf,Sendmail configuration data,Configuration file,
.pln,Microsoft Flight Simulator flight plan,Configuration file,
.ffs_batch,FreeFileSync configuration data,Configuration file,
.btf,Baires Turf configuration,Configuration file,
.ncf,Steam Client game configuration,Configuration file,
.nbo,Novell Nterprise Branch Office configuration file,Configuration file,
.hid,Sony Ericsson configuration archive,Configuration file,
.zup,Microsoft Business Solutions Navision configuration,Configuration file,
.color,Amaya configuration data,Configuration file,
.pcp,AutoCAD plotter configuration,Configuration file,
.ccr,Systems Management Server client configuration request data,Configuration file,
.zzp,FutureSoft MultiView configurable pop-up menu,Configuration file,
.qdr,Q-Dir configuration,Configuration file,
.wti,WebTranslateIt configuration,Configuration file,
.global,Global makefile,Configuration file,
.isc,Xilinx device configuration information,Configuration file,
.fhx,DeltaV configuration,Configuration file,
.set,Setup data or info,Configuration file,
.avastconfig,Avast configuration,Configuration file,
.tgb,IPSec VPN Client VPN configuration,Configuration file,
.ccb,Visual Basic animated button configuration,Configuration file,
.magic,Magic Mail Monitor configuration,Configuration file,
.nsd,Norton System Doctor sensor configuration,Configuration file,
.tsm,TwinCAT System Manager configuration file,Configuration file,
.options,SE-SOFT configuration data,Configuration file,
.bsi,BSPlayer configuration,Configuration file,
.dockerignore,Docker ignore data,Configuration file,
.pltcfg,MicroStation printer driver configuration file,Configuration file,
.ceid,Seagate Dockstar configuration,Configuration file,
.htaccess,Apache access configuration,Configuration file,
.hcr,IBM HCD/HCM production configuration,Configuration file,
.t4,TerrAlign alignment configuration data,Configuration file,
.rsx,RSLinx configuration,Configuration file,
.ftp,FTP configuration data,Configuration file,
.tim,RPC III data,Configuration file,
.svy,SmartQuest survey configuration data,Configuration file,
.rtk,Adobe RoboHelp configuration,Configuration file,
.settingcontent-ms,Microsoft Windows 8.1 configuration data,Configuration file,
.bsl,BS.Player configuration,Configuration file,
.uvoptx,µVision configuration,Configuration file,
.ncm,Nokia Communicator configuration message,Configuration file,
.dtsconfig,Microsoft SQL Server Integration Services configuration,Configuration file,
.ncfg,ArcGIS Explorer configuration data,Configuration file,
.pth,Python path configuration,Configuration file,
.kcf,KiSS configuration data,Configuration file,
.zc,Zipkey configuration,Configuration file,
.vvi,Siemens Teamcenter lifecycle visualization configuration,Configuration file,
.ewc,EWView configuration data,Configuration file,
.hfc,H-JTAG configuration file,Configuration file,
.txm,trakAx Mixer configuration data,Configuration file,
.wys,WyBuild server settings,Configuration file,
.vsc,McAffee VirusScan configuration,Configuration file,
.parm,SAS Scalable Performance Data Server LIBNAME data,Configuration file,
.jcf,JAWS configuration file,Configuration file,
.pxc,MatrikonOPC server configuration,Configuration file,
.xdfl,XDFL configuration data,Configuration file,
.kgr,SmartConfig configuration data,Configuration file,
.conf-auto,WOW! configuration data,Configuration file,
.evp,Earthview configuration,Configuration file,
.jtg,Joint Test Action Group configuration data,Configuration file,
.zcc,ECLIPSE server configuration information data,Configuration file,
.dun,Dial-Up Network config file,Configuration file,
.chf,pcAnywhere remote control data,Configuration file,
.par,Parameter,Configuration file,
.wda,NetManage RUMBA configuration data,Configuration file,
.ffs_gui,FreeFileSync configuration,Configuration file,
.und,Urban Network Data,Configuration file,
.mky,MagicKey configuration data,Configuration file,
.igd,Xbox 360 Controller for Windows configuration data,Configuration file,
.vsh,McAfee VirusShield configuration,Configuration file,
.cscfg,Microsoft Visual Studio cloud configuration,Configuration file,
.csr,Fast SMS Set SMS Relay configuration,Configuration file,
.stub,"OS X Stub library, Stub configuration file",Configuration file,
.nsu,NVIDIA nTune command system profile settings,Configuration file,
.dcf,CANopen device configuration,Configuration file,
.rvp,Microsoft Scan configuration,Configuration file,
.tfa,Aston theme configuration file,Configuration file,
.prt,Printer driver,Configuration file,
.ae0,NetBSD Ethernet configuration file,Configuration file,
.ecf,Microsoft Exchange Server data,Configuration file,
.diagcfg,Microsoft Windows Troubleshooting configuration,Configuration file,
.$msf,Adobe configuration data,Configuration file,
.dcfg,routers2.cgi dummy configuration data,Configuration file,
.iom,Omniscope configuration data,Configuration file,
.uae,WinUAE configuration data,Configuration file,
.esi,EtherCAT slave information,Configuration file,
.tdw,Borland Turbo Debugger for Windows configuration,Configuration file,
.ctr,ERGO receiver configuration file format,Configuration file,
.inuse,Text configuration (in use),Configuration file,
.wcr,Ergane configuration,Configuration file,
.vrf,Oracle Database configuration,Configuration file,
.tmap,Texas Instruments PowerLAN configuration,Configuration file,
.iip,ThinAnywhere configuration,Configuration file,
.bau,Apache OpenOffice configuration data,Configuration file,
.blockmap,App package block map,Configuration file,
.prt,Printer formatted data,Configuration file,
.cf3,PBX ANI-Link configuration file,Configuration file,
.pui,Foobar2000 panels UI configuration,Configuration file,
.siz,Oracle 7 configuration data,Configuration file,
.xmc,Lingoes configuration,Configuration file,
.sgc,Secure SnapGear Router configuration,Configuration file,
.pcf,Packaged collaboration data,Configuration file,application/x-font-pcf
.hcm,IBM HCM ork file,Configuration file,
.lcc,Light-O-Rama channel configuration,Configuration file,
.perlcriticrc,PerlCritic configuration data,Configuration file,
.ifb,Oracle Siebel interface configuration,Configuration file,text/calendar
.ucf,MicroStation workspace configuration file,Configuration file,
.fxc,DIMDATA FilePackager configuration data,Configuration file,
.mxu,MultiExchange Unit configuration,Configuration file,video/vnd.mpegurl
.twc,Tripwire configuration data,Configuration file,
.pfg,jEEPersDX configuration data,Configuration file,
.inz,Datalogic Lighter configuration,Configuration file,
.leases,VMware DHCP configuration information data,Configuration file,
.keyboard,Amaya configuration data,Configuration file,
.zzt,FutureSoft MultiView terminal configuration,Configuration file,
.epf,Eclipse preference data,Configuration file,
.ccf,Lotus Symphony communications configuration,Configuration file,
.zzb,FutureSoft MultiView configurable toolbar,Configuration file,
.llp,Lotto Logic 2002 lottery configuration file,Configuration file,
.ccfg,BartPE configuration,Configuration file,
.pc3,Autodesk AutoCAD plotter and printer configuration,Configuration file,
.zzd,FutureSoft MultiView wizard settings.,Configuration file,
.mozconfig,Mozilla Firefox configuration data,Configuration file,
.properties,HSQLDB configuration,Configuration file,
.ezhex,Logitech Harmony configuration file,Configuration file,
.tvc,TeamViewer configuration data,Configuration file,
.ne0,NetBSD config data,Configuration file,
.lvt,Land surface Verification Toolkit configuration,Configuration file,
.prb,PSpice PROBE configuration file,Configuration file,
.zzc,FutureSoft MultiView connection details,Configuration file,
.dks,DataKeeper configuration,Configuration file,
.jkm,JAWS ini configuration file,Configuration file,
.vimrc,Vim runtime configuration,Configuration file,
.certauthorityconfig,Apple Mac OS X Certificate Assistant configuration file,Configuration file,
.netsh,Windows netset settings,Configuration file,
.ubb,BEA eLink Adapter configuration data,Configuration file,
.vcf,Vevi configuration data,Configuration file,text/x-vcard
.jvr,JavaView configuration data,Configuration file,
.zcfg,Zoom Search Engine configuration,Configuration file,
.mew,MultiEdit configuration data,Configuration file,
.zzk,FutureSoft MultiView keyboard mapping,Configuration file,
.exe4j,Exe4j configuration data,Configuration file,
.pb2,OrindaBuild configuration data,Configuration file,
.pvx,ParaView configuration XML file,Configuration file,
.521,Murray State University Trojan Ring configuration data,Configuration file,
.fwt,FacetWin configuration,Configuration file,
.cos,Capture One configuration file,Configuration file,
.lnt,FlexeLint configuration data,Configuration file,
.cnf,Lotus 1-2-3 configuration data,Configuration file,
.pnagent,Citrix Presentation Server data,Configuration file,
.wlm,HP-UX Workload Manager configuration data,Configuration file,
.cnf,Origin configuration,Configuration file,
.abs,Absolute Packager configuration,Configuration file,
.dcf,DynSite configuration file format,Configuration file,
.pc2,Autodesk AutoCAD R14 plotter configuration data,Configuration file,
.pxg,PixRef Pro configuration data,Configuration file,
.cezeokey,CEZEO Key data,Configuration file,
.ktw,KeyTweak configuration,Configuration file,
.td2,Turbo Debugger for Win32 configuration,Configuration file,
.hexdwc,HHD Software Hex Editor configuration,Configuration file,
.mspl,RPAS configuration,Configuration file,
.cmate,ControllerMate configuration,Configuration file,
.aas,Microsoft Windows application assignment script,Configuration file,application/x-authorware-seg
.emv,LabVIEW configuration,Configuration file,
.ps1xml,Microsoft Windows PowerShell display configuration,Configuration file,
.dmc,DAZ 3D Mimic configuration,Configuration file,
.les,Logitech entertainment system game profile,Configuration file,application/vnd.hhe.lesson-player
.srv,BNBSURVEY configuration data,Configuration file,
.mbc,ModBus configuration,Configuration file,
.cnf,MySQL startup configuration,Configuration file,
.nck,CNC machine data,Configuration file,
.pcp,AutoCAD R13 and Prior Plotter configuration file format,Configuration file,
.opt,Options,Configuration file,
.sconscript,SCons SConscript configuration,Configuration file,
.bxrc,Bochs configuration,Configuration file,
.drh,Paralllels Desktop pvs package configuration,Configuration file,
.jic,JTAG indirect configuration,Configuration file,
.wxa,Buxco system hardware configuration data,Configuration file,
.fig,SWAT watershed configuration data,Configuration file,application/x-xfig
.nfg,NewsBin configuration file,Configuration file,
.sch,FTP Voyager scheduled FTP file transfer,Configuration file,
.asgp,HP-UX NIS Maps configuration,Configuration file,
.fbk,FlashFXP backup configuration,Configuration file,
.bwz,WinImage batch configuration,Configuration file,
.zzf,FutureSoft MultiView file transfer configuration,Configuration file,
.twc,TTWin configuration,Configuration file,
.psrc,Parasoft Insure++ configuration,Configuration file,
.fsi,FSI Viewer configuration,Configuration file,
.cgi,RAD Studio configuration,Configuration file,
.cch,Microsoft .NET configuration and security policy data,Configuration file,
.sxp,RedHat Linux configuration,Configuration file,
.opts,Linux configuration options,Configuration file,
.g16,GoldED DOS compiled configuration,Configuration file,
.ncc,Native Instruments Controller Editor configuration,Configuration file,
.eg2,IBM eGatherer collected system configuration information,Configuration file,
.rcf,SonicWALL VPN configuration,Configuration file,
.wadcfg,Windows Azure Diagnostics configuration,Configuration file,
.mpa,E-Designer data,Configuration file,video/mpeg
.mdrc,MADRIX DMX remote configuration data,Configuration file,
.mcd,MediaCD configuration data,Configuration file,application/vnd.mcd
.cekey,McAfee VirusScan configuration,Configuration file,
.ghi,NCSA Mosaic configuration,Configuration file,
.csd,Canon camera configuration,Configuration file,
.sxc,HPX View SONET/SDH crossconnect configuration,Configuration file,application/vnd.sun.xml.calc
.vsct,Microsoft Visual Studio command table configuration file,Configuration file,
.nba,Nota Bene configuration information,Configuration file,
.mcc,Mathcad configuration data,Configuration file,
.joy,Joystick calibration file,Configuration file,
.perfmoncfg,Microsoft Windows Performance Monitor configuration,Configuration file,
.tc,Borland C++ configuration,Configuration file,
.azd,Amazon Software Downloader data,Configuration file,
.hfmx,HFM.NET configuration,Configuration file,
.cwy,Songtrix style,Configuration file,
.cwc,CADfix wizard configuration data,Configuration file,
.icte,Apple Mac internet configuration,Configuration file,
.osd,Directory Opus configuration,Configuration file,
.elc,Netcool/OMNIbus event list configuration file,Configuration file,application/octet-stream
.wsb,Windows SandBox configuration,Configuration file,
.con,Configuration data,Configuration file,
.scc,Active ScreenSaver Builder configuration,Configuration file,
.ddt,Linux configuration data,Configuration file,
.vmc,Virtual memory configuration,Configuration file,
.gml,NetRemote XML-based configuration data,Configuration file,
.brg,Bentley ProjectWise configuration data,Configuration file,
.sydx,Syncfusion Server base database configuration,Configuration file,
.ams,Adobe Photoshop monitor configuration,Configuration file,
.ubr,IIS WCAT configuration,Configuration file,
.dcf,ProWORX Nxt database configuration,Configuration file,
.ffs_real,FreeFileSync configuration data,Configuration file,
.thm,OpenOffice.org configuration,Configuration file,
.xpl,LcdStudio configuration playlist,Configuration file,
.ivc,InteliSea vessel configuration,Configuration file,
.profiles,Amaya configuration data,Configuration file,
.met,HEC-HMS meteorologic model configuration,Configuration file,
.set,Configuration,Configuration file,
.gdm,Gnome Display Manager configuration,Configuration file,
.bitpim,BitPim configuration,Configuration file,
.grd,Gradebook Power configuration,Configuration file,
.srf,Siebel repository data,Configuration file,image/x-sony-srf
.prm,MicroImages parameters,Configuration file,
.tbr,SoftQuad XMetaL configuration,Configuration file,
.dyc,Xerox printer driver configuration,Configuration file,
.phl,Database configuration,Configuration file,
.prp,Palace Server server configuration,Configuration file,
.cq,Cqual configuration,Configuration file,
.inf,Adobe Type Manager font information,Configuration file,
.bus,OMSI - The Bus Simulator configuration data,Configuration file,
.dtsearch,dtSearch configuration,Configuration file,
.sxcu,ShareX custom uploader configuration,Configuration file,
.iaf,Informer configuration,Configuration file,
.bochsrc,Bochs configuration,Configuration file,
.lct,Oracle Database configuration,Configuration file,
.3,Solaris Device Configuration Assistant Boot Diskette file,Configuration file,
.ftpconfig,remote-ftp for Atom configuration,Configuration file,
.iok,Omniscope configuration,Configuration file,
.cm,Cable modem configuration,Configuration file,
.aus,Outpost Firewall Pro configuration,Configuration file,
.gdt,Guitar & Drum Trainer song configuration,Configuration file,
.p9d,Plane9 configuration,Configuration file,
.god,God configuration,Configuration file,
.ccf,GPS Pathfinder Office configuration,Configuration file,
.dfc,DeSmuME firmware configuration,Configuration file,
.scpcfg,SuperCard project configuration,Configuration file,
.cdd,Balder Multiboot configuration,Configuration file,
.me,Multi-Edit configuration,Configuration file,text/troff
.rc,GNU Emacs configuration record file,Configuration file,
.apm,Pro/ENGINEER configuration data,Configuration file,
.rsp,ODBC driver configuration,Configuration file,
.dcb,Digital Ceremonial Bugle configuration profile,Configuration file,
.ced,VisionTools Pro-e smart graphic configuration,Configuration file,
.nns,NAVNET32 configuration data,Configuration file,application/vnd.noblenet-sealer
.pcf,Systems Management Server (SMS) patron configuration,Configuration file,application/x-font-pcf
.cfs,INMOS configuration data,Configuration file,
.zze,FutureSoft MultiView emulation details,Configuration file,
.tds,TerrAlign dataset configuration file,Configuration file,
.sup,Pro/ENGINEER master configuration file,Configuration file,
.olsr,Olsrd configuration,Configuration file,
.c,Check Point site configuration,Configuration file,text/x-c
.tm,Tecmail configuration data,Configuration file,
.hcfg,HoDokK configuration,Configuration file,
.efc,eFiler configuration,Configuration file,
.vis,FDS Imaging Software HW configuration,Configuration file,application/vnd.visionary
.adba,AIMSS author project configuration,Configuration file,
.dcc,Nokia Dynamic Camera configuration,Configuration file,
.sdc,Smart Diary Suite configuration data,Configuration file,application/vnd.stardivision.calc
.ncf,Novell NetWare configuration,Configuration file,
.esp,Easy Setup program configuration,Configuration file,
.zcfg,HLGuard Z configuration file,Configuration file,
.fdp,Festo Drive Parameter file,Configuration file,
.cha,IRC Chat configuration,Configuration file,
.cld,CA Clipper debugger configuration,Configuration file,
.scp,Palm OS configuration file,Configuration file,
.pcf,PowerToy Calculator saved functions and variables,Configuration file,application/x-font-pcf
