Description,Extension,Category,MIME type,,,,,
PowerCADD 7 Drawing File,.pc7,Data Files,Unknown,,,,,
Oracle Package Spec File,.pks,System Files,Unknown,,,,,
Windows Registry Hive File,.hiv,Executable,Unknown,,,,,
Flash Renamer Script,.frs,3D Images,Unknown,,,,,
Crytek Geometry Animation File,.cga,Executable,Unknown,,,,,
4DOS Batch File,.btm,Data Files,application/vnd.openxmlformats-officedocument.presentationml.presentation,,,,,
Microsoft PowerPoint Presentation,.pptx,Executable,Unknown,,,,,
Kindle Active Content App File,.azw2,Metadata Files,application/vnd.sun.xml.impress.template,,,,,
Apache OpenOffice 1.0 Presentation Template,.sti,Data Files,Unknown,,,,,
FileNet eForms Designer Template,.itx,Database Files,Unknown,,,,,
DTS Settings File,.dtsx,Backup Files,Unknown,,,,,
BerryBuzz Backup File,.bbz,Raster Images,image/png,,,,,
NinePatchDrawable Image,.9.png,3D Images,Unknown,,,,,
Spark AR Project Package,.arprojpkg,Encoded Files,Unknown,,,,,
KryptoStorage Container File,.kde,Compressed,application/x-tar,,,,,
Arch Linux Software Package,.pkg.tar.xz,Game Files,Unknown,,,,,
America's Army Map File,.aao,Misc Files,Unknown,,,,,
Microsoft Help 2 Index File,.hxk,Data Files,Unknown,,,,,
TrID Definitions Package,.trd,CAD Files,Unknown,,,,,
CATIA V5 Drawing,.catdrawing,Disk Images,Unknown,,,,,
Nero CD/DVD Image File,.nrg,Encoded Files,Unknown,,,,,
Picocrypt Encrypted File,.pcv,Text,Unknown,,,,,
Ability Write Document,.aww,Disk Images,Unknown,,,,,
Synclavier Optical Disk Image File,.sopt,Misc Files,Unknown,,,,,
Extensible Metadata Platform File,.xmp,Settings Files,Unknown,,,,,
Dreamweaver Site Settings File,.ste,Plugin Files,Unknown,,,,,
PhotoDeluxe Plug-in,.8be,Game Files,Unknown,,,,,
Counter-Strike PODBot Waypoint File,.pwf,Page Layouts,Unknown,,,,,
MediaFace Online Saved File,.mfo,Compressed,Unknown,,,,,
Compressed DLL File,.dl_,Encoded Files,Unknown,,,,,
Panwrypter Depleted Storage Volume File,.wrypt,Data Files,Unknown,,,,,
Windows Live Photo Gallery Information File,.pd5,Encoded Files,Unknown,,,,,
Electronically Certified Document,.edoc,Page Layouts,Unknown,,,,,
Easy-PhotoPrint EX Calendar File,.el4,Raster Images,Unknown,,,,,
Kodi Thumbnail Image,.tbn,CAD Files,Unknown,,,,,
AutoCAD Ecscad Project Backup File,.ezp,CAD Files,Unknown,,,,,
Alphacam Flame Drawing,.afd,Game Files,Unknown,,,,,
Flight Simulator X Games Explorer File,.fssave,CAD Files,model/step,,,,,
STEP 3D Model,.step,Misc Files,Unknown,,,,,
SketchBook Pro Animation File,.skba,Encoded Files,Unknown,,,,,
UIWIX Ransomware Encrypted File,.uiwix,Raster Images,Unknown,,,,,
Zetafax Fax Image,.g3f,Backup Files,Unknown,,,,,
Pleco Chinese Dictionary Backup File,.pqb,Disk Images,Unknown,,,,,
Hyper-V Virtual Machine Persistent Memory Device,.vhdpmem,Settings Files,application/vnd.geonext,,,,,
Grand Theft Auto Text File,.gxt,Encoded Files,Unknown,,,,,
WinAce Encrypted File,.xef,Game Files,Unknown,,,,,
LiveSplit Splits,.lss,Misc Files,Unknown,,,,,
Lock File,.lock,Raster Images,Unknown,,,,,
Photoshop Vanishing Point Export File,.vpe,Video,Unknown,,,,,
Natron Project File,.ntp,Data Files,Unknown,,,,,
Landmark Exchange File,.lmx,Images,Unknown,,,,,
Buttonz & Tilez texture,.til,Database Files,Unknown,,,,,
Eudora Address Book File,.nnt,Game Files,Unknown,,,,,
osu! Skin File,.osk,Encoded Files,Unknown,,,,,
Lilith Ransomware Encrypted File,.lilith,Backup Files,Unknown,,,,,
2FAS Token Backup,.2fas,Audio,Unknown,,,,,
MadTracker Instrument,.mti,Data Files,Unknown,,,,,
Visio Stencil XML File,.vsx,Vector Images,Unknown,,,,,
MindGenius Map File,.mgmf,Developer Files,Unknown,,,,,
Visual Shader Graph File,.dgsl,Settings Files,Unknown,,,,,
FoxPro Format File,.fmt,Misc Files,Unknown,,,,,
Acrobat Batch PDX File,.bpdx,Vector Images,image/x-freehand,,,,,
FreeHand 4 Drawing File,.fh4,Encoded Files,Unknown,,,,,
Encryptafile Private Key File,.efr,Settings Files,Unknown,,,,,
xScope Frames File,.frames,Data Files,Unknown,,,,,
Beyond 20/20 Table File,.ivt,Misc Files,Unknown,,,,,
WinAVI Temporary Navigation File,.nav2,Settings Files,Unknown,,,,,
Windows Media Skin,.wms,Raster Images,Unknown,,,,,
MU Online Image File,.ozj,System Files,Unknown,,,,,
Linux Kernel Module File,.ko,Font Files,application/x-font-pcf,,,,,
PaintCAD Font,.pcf,Vector Images,image/x-freehand,,,,,
FreeHand 7 Drawing File,.fh7,Database Files,Unknown,,,,,
Tonfotos People Information Database,.tnfp,Game Files,Unknown,,,,,
No Cache File,.ncf,CAD Files,Unknown,,,,,
Inventor Presentation,.ipn,Text,Unknown,,,,,
Bulletin Board System Text,.bbs,Audio,Unknown,,,,,
iTunes Podcast File,.pcast,3D Images,Unknown,,,,,
Grasshopper XML Definition,.ghx,Font Files,Unknown,,,,,
Soft Font Printer File,.sfp,Font Files,Unknown,,,,,
Ventura Printer Font,.xfn,Developer Files,Unknown,,,,,
Visual Studio Solution File,.sln,Database Files,Unknown,,,,,
myBase Database File,.nyf,Page Layouts,Unknown,,,,,
Affinity Template,.aftemplate,Raster Images,image/webp,,,,,
WebP Image,.webp,Data Files,Unknown,,,,,
Echoview File,.ev,Developer Files,Unknown,,,,,
YaST Metapackage File,.ymp,Video,Unknown,,,,,
DirectorZone Particle Effect File,.dzp,Developer Files,Unknown,,,,,
Dashcode Project,.dcproj,Video,Unknown,,,,,
Google Video Pointer,.gvp,Font Files,Unknown,,,,,
Windows Composite Font File,.compositefont,Misc Files,Unknown,,,,,
DownloadStudio Incomplete Download,.dstudio,Game Files,Unknown,,,,,
Unreal Tournament 2003/2004 Module File,.ut2mod,Raster Images,Unknown,,,,,
PhotoImpact 3 Album,.ab3,System Files,Unknown,,,,,
TI-Nspire CX II Operating System File,.tco2,CAD Files,Unknown,,,,,
Strater Template File,.tsf,Images,Unknown,,,,,
Windows Bitmap Image,.rl8,Video,Unknown,,,,,
VivaVideo Effect,.xyt,Vector Images,Unknown,,,,,
HyperSnap Drawing,.dhs,Settings Files,Unknown,,,,,
Aston Compiled Theme,.atz,Web Files,Unknown,,,,,
Hypertext Markup Language Memory File,.html.mem,Backup Files,Unknown,,,,,
Norton Ghost Backup File,.gho,Game Files,Unknown,,,,,
RPG Maker VX RGSS Encrypted Archive,.rgssad,Data Files,Unknown,,,,,
At Home 2009 Tax Return,.t09,Database Files,Unknown,,,,,
Win96 Database,.p96,Developer Files,application/xml-external-parsed-entity,,,,,
External Entity,.ent,Compressed,Unknown,,,,,
Renamed Zip or Executable File,.efw,Settings Files,Unknown,,,,,
Finale Track-to-Staff Mapping File,.trk,Audio,Unknown,,,,,
Pro Tools Session Template,.ptxt,Raster Images,Unknown,,,,,
Dr. Halo Color Palette File,.pal,Database Files,Unknown,,,,,
4th Dimension Database Data File,.4dd,Backup Files,Unknown,,,,,
Living Cookbook Backup File,.lcb,Video,Unknown,,,,,
Windows Dancer File,.dnc,Data Files,text/x-vcalendar,,,,,
vCalendar Event,.vcs,Misc Files,Unknown,,,,,
Garmin Checksum File,.sum,Video,audio/mpeg,,,,,
MPEG-1 Layer 2 Audio File,.m2a,Encoded Files,application/vnd.ibm.modcap,,,,,
FileProtector Encrypted File,.afp,Developer Files,Unknown,,,,,
Intellisense Precompiled Header File,.ipch,Text,Unknown,,,,,
Gather Log File,.gthr,Misc Files,Unknown,,,,,
Firmware Update File,.dwn,Executable,Unknown,,,,,
Windows Script Host Settings,.wsh,Compressed,Unknown,,,,,
Dzip File,.dz,GIS Files,Unknown,,,,,
MapGuide Author Map Window XML File,.mwx,Video,Unknown,,,,,
Procreate Dreams Project,.dream,Game Files,Unknown,,,,,
KeyValues3 Game Data File,.kv3,Compressed,Unknown,,,,,
Compressed Android Package,.xapk,Misc Files,Unknown,,,,,
HotDocs Registration File,.hdk,Audio,Unknown,,,,,
Finale Performance Assessment,.fpa,Vector Images,Unknown,,,,,
Corel PaintShop Pro Shape Library,.jsl,Backup Files,Unknown,,,,,
LG Backup File,.lbf,Vector Images,Unknown,,,,,
Sothink SWF Easy Shape File,.gls,Text,Unknown,,,,,
Unicode Text File,.utxt,System Files,Unknown,,,,,
Samsung Android Firmware File,.hcd,Encoded Files,Unknown,,,,,
Werd Ransomware Encrypted File,.werd,Raster Images,Unknown,,,,,
Digital Photo Navigator Album,.jia,Game Files,Unknown,,,,,
Blizzard StarCraft 2 Archive File,.sc2archive,Backup Files,Unknown,,,,,
Backup File,.bak3,Text,application/pkcs7-signature,,,,,
Digitally Signed Email Message,.p7s,Developer Files,Unknown,,,,,
RPM Specification File,.spec,Executable,Unknown,,,,,
AppleScript Script Bundle,.scptd,Audio,Unknown,,,,,
Sony Ericsson Protected Content,.copy,Raster Images,image/heic,,,,,
High Efficiency Image Format,.heif,Data Files,Unknown,,,,,
AOL Personal Filing Cabinet,.pfc,Plugin Files,Unknown,,,,,
Photoshop Plug-in,.8ba,Text,Unknown,,,,,
Google Apps Script Shortcut,.gscript,Raster Images,Unknown,,,,,
JPEG Image File Format,.jiff,Raster Images,Unknown,,,,,
DigitalMicrograph Image,.dm3,Text,Unknown,,,,,
Windows 93 Desktop Shortcut,.lnk42,Compressed,Unknown,,,,,
Telegram Animated Sticker File,.tgs,Plugin Files,Unknown,,,,,
Photoshop 5.0 Plug-in,.8bc,Vector Images,Unknown,,,,,
diagrams.net Diagram File,.drawio,Images,Unknown,,,,,
SecretPhotos Puzzle Image,.xp0,Text,Unknown,,,,,
Jarvis Subscriber File,.jarvis,Vector Images,Unknown,,,,,
YouiDraw Logo Creator Image,.ylc,Encoded Files,application/octet-stream,,,,,
Nero SecurDisc Public Key File,.bpk,Compressed,Unknown,,,,,
LZ4 Compressed File,.lz4,Settings Files,Unknown,,,,,
QlikView Theme File,.qvt,Encoded Files,Unknown,,,,,
Ccrypt Encrypted File,.suf,System Files,Unknown,,,,,
Android Thumbnails Folder,.thumbnails,Encoded Files,Unknown,,,,,
QSCX Ransomware Encrypted File,.qscx,Text,Unknown,,,,,
BanglaWord Document,.bwd,Web Files,Unknown,,,,,
Mailjet Markup Language File,.mjml,GIS Files,Unknown,,,,,
Zipped QGIS Project,.qgz,Raster Images,Unknown,,,,,
Image Composer File,.mic,Backup Files,Unknown,,,,,
Time Machine Backup Folder,.backupdb,Raster Images,Unknown,,,,,
FSymbols Draw ASCII Art,.fsymbols-art,Video,Unknown,,,,,
VodBurner Crude Video File,.vbc,Images,Unknown,,,,,
HRU Image,.hru,Web Files,Unknown,,,,,
Visio Web Drawing,.vdw,Developer Files,Unknown,,,,,
Magik Source Code File,.magik,Settings Files,Unknown,,,,,
Resource Monitor Configuration File,.resmoncfg,Video,Unknown,,,,,
EZTitles Subtitles File,.ezt,Compressed,Unknown,,,,,
Linux Mint Installer File,.mint,Font Files,application/x-tex-gf,,,,,
METAFONT Bitmap File,.gf,Settings Files,Unknown,,,,,
Microsoft Resource Library,.rll,Executable,Unknown,,,,,
WordPerfect Macro,.wpk,Raster Images,Unknown,,,,,
Siemens Mobile Animations File,.bmx,Images,Unknown,,,,,
Stardent AVS X Image,.mbfs,GIS Files,Unknown,,,,,
World File for TIFF,.tfw,Page Layouts,Unknown,,,,,
Pepakura Designer File,.pdo,Game Files,Unknown,,,,,
Elder Scrolls or Fallout 4 Plug-in,.esp,Encoded Files,Unknown,,,,,
Blowfish Encrypted File,.bfa,Video,Unknown,,,,,
Wax 2.0 Project,.wxp,Executable,Unknown,,,,,
Extended Shell Batch File,.esh,Disk Images,Unknown,,,,,
Windows 8 Virtual Hard Drive File,.vhdx,Images,Unknown,,,,,
Autologic Image,.gm,Disk Images,Unknown,,,,,
Raw CD Audio File,.di,Text,Unknown,,,,,
Youtube-dl Video Description,.description,Plugin Files,Unknown,,,,,
AfterShot Pro Plugin Archive,.afzplug,Plugin Files,Unknown,,,,,
RapidWeaver Plugin,.rwplugin,Disk Images,Unknown,,,,,
BlindWrite 6 Track Information File,.b6t,Encoded Files,Unknown,,,,,
yEnc Encoded File,.ync,Raster Images,Unknown,,,,,
Painter Raster Image,.riff,Disk Images,Unknown,,,,,
Squash FS Bootable File,.sqfs,Compressed,Unknown,,,,,
WinRAR Multi-Volume Archive Part 1,.r1,Vector Images,Unknown,,,,,
Street Fighter IV Texture File,.tex.emz,Presentations,application/vnd.sun.xml.impress,,,,,
Apache OpenOffice 1.0 Presentation,.sxi,Game Files,Unknown,,,,,
Animal Crossing Wild World Pattern File,.acww,Database Files,Unknown,,,,,
WordPerfect Address Book,.abx,Camera Raw Image,image/x-sony-arw,,,,,
Sony Alpha Raw Digital Camera Image,.arw,System Files,Unknown,,,,,
ATA Hard Drive Flag File,.atahd,Disk Images,Unknown,,,,,
Wii U Disk Image File,.wud,Plugin Files,Unknown,,,,,
AppleScript Scripting Addition,.osax,3D Images,Unknown,,,,,
RandomControl Scene File,.rcs,Audio,Unknown,,,,,
Synchomatic Instrument,.syh,Page Layouts,Unknown,,,,,
InCopy Package File,.icap,Audio,Unknown,,,,,
Guitar Pro 7 Document,.gp,Page Layouts,Unknown,,,,,
eCommerce Landing Page,.elp,Developer Files,Unknown,,,,,
Compiled Lua Source File,.luc,Executable,Unknown,,,,,
E-Run 1.x Script,.ebs,Disk Images,Unknown,,,,,
Windows System Deployment Image,.sdi,Developer Files,Unknown,,,,,
Perl Header File,.ph,Developer Files,Unknown,,,,,
Groovy Source Code File,.groovy,Developer Files,Unknown,,,,,
GameSalad Project File,.gameproj,Game Files,Unknown,,,,,
Defold Project Settings File,.project,Executable,Unknown,,,,,
Compressed Executable File,.ex_,Images,Unknown,,,,,
Image Capture Board Image,.icb,Video,Unknown,,,,,
Plotagon Project File,.plotdoc,Executable,Unknown,,,,,
Rembo-C Compiled Script,.rbx,System Files,Unknown,,,,,
Bash History File,.bash_history,Data Files,Unknown,,,,,
LeCroy Binary Waveform File,.xmlper,Backup Files,Unknown,,,,,
CleanApp Archive,.caa,Documents,application/vnd.ms-word.document.macroenabled.12,,,,,
Microsoft Word XML Document,.docm,Camera Raw Image,Unknown,,,,,
Leaf Camera RAW Image,.mos,Data Files,Unknown,,,,,
HeuristicLab Storage File,.hl,Settings Files,Unknown,,,,,
SynWrite Project,.synw-proj,Executable,Unknown,,,,,
AppleScript File,.applescript,System Files,Unknown,,,,,
Microsoft Store TokenBroker Cache File,.tbres,Developer Files,Unknown,,,,,
Visual Studio Test Metadata File,.vsmdi,Misc Files,Unknown,,,,,
ZoneAlarm Renamed VB File,.z1,Page Layouts,Unknown,,,,,
Twixl Publisher Article,.article,Page Layouts,Unknown,,,,,
Calendar Builder File,.cbf,Text,Unknown,,,,,
Text Document,.wtx,Video,Unknown,,,,,
VideoStudio Filter File,.vft,System Files,Unknown,,,,,
Unix Section 4 Manual Page,0.4,Executable,Unknown,,,,,
EZ-R Stats Batch Script,.ezs,Game Files,Unknown,,,,,
Max Payne 2 Mod,.mp2m,Misc Files,Unknown,,,,,
CCleaner Securely Deleted File,.zzz,Web Files,Unknown,,,,,
Internet Query,.iqy,Web Files,Unknown,,,,,
UC Browser Saved Webpage,.uhtml,Game Files,Unknown,,,,,
Steam Compressed Game Resource File,.ztmp,3D Images,Unknown,,,,,
Hexagon Model File,.hxn,Plugin Files,Unknown,,,,,
Espresso Plug-in,.sugar,Developer Files,application/x-dtbresource+xml,,,,,
Windows Resource File,.res,3D Images,Unknown,,,,,
Car Mechanic Simulator 3D Car Model File,.cms,Audio,Unknown,,,,,
VOCALOID5 Project File,.vpr,System Files,Unknown,,,,,
Windows Printer Migration File,.printerexport,Backup Files,Unknown,,,,,
PowerDesigner Business Process Backup File,.bpb,Video,Unknown,,,,,
KineMaster Project File,.kine,Web Files,Unknown,,,,,
Secure IE Zipped HTML File,.zhtml,System Files,Unknown,,,,,
Samsung DVD and Blu-ray Player Firmware File,.ruf,Game Files,Unknown,,,,,
RPG Maker Game Save File,.lsd,Settings Files,Unknown,,,,,
Outlook Internet Account File,.iaf,Misc Files,Unknown,,,,,
Dynamics AX Developer Documentation File,.add,Game Files,Unknown,,,,,
OMSI Spline Configuration File,.sli,Compressed,Unknown,,,,,
FormsForWeb Extensible Form Package,.xfp,3D Images,Unknown,,,,,
Artlantis 3D Scene File,.atl,Images,Unknown,,,,,
Apollo HDRU Image,.hdru,3D Images,application/vnd.kahootz,,,,,
Kahootz Project File,.ktz,Backup Files,Unknown,,,,,
Enpass Data File,.walletx,Database Files,Unknown,,,,,
Microsoft Excel Query,.dqy,Backup Files,Unknown,,,,,
JW Library Backup,.jwlibrary,Vector Images,Unknown,,,,,
SolidWorks Drawing Sheet,.slddrt,Developer Files,Unknown,,,,,
Visual Studio Licensed Classes File,.licenses,Misc Files,application/vnd.quark.quarkxpress,,,,,
QuarkXPress Library,.qxl,Settings Files,Unknown,,,,,
ToolBook Translation System File,.tts,Settings Files,application/vnd.iccprofile,,,,,
ICC Profile,.icc,Misc Files,Unknown,,,,,
Guitar Pro 4 Tablature,.gp4,Compressed,application/x-7z-compressed,,,,,
7-Zip Compressed File,.7z,Plugin Files,Unknown,,,,,
Visual Studio Extension,.vsix,Audio,Unknown,,,,,
RealOne Streaming Media File,.r1m,Raster Images,Unknown,,,,,
Ulead GIF Animator File,.uga,Images,Unknown,,,,,
Ecchi Image,.ecc,3D Images,Unknown,,,,,
jMonkeyEngine 3D Scene,.j3o,Developer Files,application/octet-stream,,,,,
Shared Library,.so,Page Layouts,Unknown,,,,,
InfoPath Form Template File,.xsn,Plugin Files,Unknown,,,,,
finalRender Plugin,.dlr,Settings Files,Unknown,,,,,
Windows Accessibility Wizard File,.acw,Misc Files,Unknown,,,,,
BibTeX Generated Bibliography File,.bbl,Compressed,application/x-stuffit,,,,,
StuffIt Archive,.sit,Misc Files,Unknown,,,,,
Brother PE Embroidery Format,.pes,Audio,Unknown,,,,,
POD HD500 Edit Bundle,.h5b,GIS Files,Unknown,,,,,
ERDAS LAN File,.lan,Video,Unknown,,,,,
PhotoSuite Slide Show File,.pssd,Compressed,Unknown,,,,,
KGB Archive File,.kgb,Data Files,text/vnd.familysearch.gedcom,,,,,
GEDCOM Genealogy Data File,.ged,System Files,Unknown,,,,,
Linux Trash Metadata File,.trashinfo,Raster Images,Unknown,,,,,
BYOB Sprite File,.ysp,3D Images,Unknown,,,,,
Compressed Breath of the Wild Model File,.sbfres,Database Files,Unknown,,,,,
SQL Server Secondary Database File,.ndf,System Files,Unknown,,,,,
File Description File,.ion,Data Files,Unknown,,,,,
FMAT Runfile,.fmat,Raster Images,Unknown,,,,,
Dalim Virtual Library File,.dvl,Plugin Files,Unknown,,,,,
Expression Web Add-in,.xadd,Text,Unknown,,,,,
Rich Text Format Directory File,.rtfd,Encoded Files,Unknown,,,,,
Multi-Purpose Internet Mail Message File,.mim,Images,Unknown,,,,,
VITec Image,.vit,Disk Images,application/vnd.sailingtracker.track,,,,,
Atari ST Disk Image,.st,Web Files,Unknown,,,,,
FastCGI File,.fcgi,Audio,Unknown,,,,,
Core Audio File,.caff,Developer Files,Unknown,,,,,
Visual Studio Solution Source Control File,.vssscc,Web Files,Unknown,,,,,
Freeway Template Bundle,.fwtb,Game Files,Unknown,,,,,
Virtual Villagers Saved Game File,.ldw,Text,Unknown,,,,,
Pocket Word Document,.pwi,Audio,Unknown,,,,,
Psycle Song File,.psy,Audio,Unknown,,,,,
Winamp Equalizer Presets File,.q1,Compressed,Unknown,,,,,
Sticker Maker Sticker Pack,.wastickers,Text,Unknown,,,,,
Open Document Interchange Format,.odif,Plugin Files,Unknown,,,,,
Photoshop Plug-in,.8bi8,Misc Files,Unknown,,,,,
DVD Label Template Media File,.ztr,Game Files,Unknown,,,,,
Player Studio Viewer Item File,.soepsx,Raster Images,Unknown,,,,,
Greeting Card Studio Design Project,.gcdp,Settings Files,Unknown,,,,,
HTTP Injector Config File,.ehi,Encoded Files,Unknown,,,,,
Baidu SDK File,.cuid,Game Files,Unknown,,,,,
Steam Application Cache File,.acf,Raster Images,Unknown,,,,,
Sakura VisionTek Slide Image,.svslide,Data Files,Unknown,,,,,
DemoShield Project,.dbd,Audio Files,audio/mpeg,,,,,
MPEG-1 Audio Layer II,.mp2,Settings Files,Unknown,,,,,
Capture One Preset File,.copreset,Database Files,Unknown,,,,,
ACT! Lookup File,.alf,Web Files,Unknown,,,,,
Bean Markup Language File,.bml,Compressed,application/vnd.etsi.asic-e+zip,,,,,
ASiC-Extended Data Container,.asice,Video,Unknown,,,,,
DivX Author Template File,.tda3mt,System Files,Unknown,,,,,
Troubleshooting Pack Configuration File,.diagcfg,Images,Unknown,,,,,
Qdv (Random Dot Software) Image,.qdv,Vector Images,application/vnd.ms-artgalry,,,,,
Clip Gallery Packaged File,.cil,Game Files,Unknown,,,,,
EGO Engine Textures File,.pssg,GIS Files,Unknown,,,,,
ArcGIS Map Package,.mpk,Settings Files,Unknown,,,,,
SuperKaramba Theme,.skz,Compressed,Unknown,,,,,
Zipped File,.piz,Compressed,Unknown,,,,,
FreeBSD Compressed Disk Image,.uzip,Web Files,Unknown,,,,,
HTML5 Content Package,.h5p,Web Files,Unknown,,,,,
TitanTV Television Listing File,.tvvi,Data Files,Unknown,,,,,
Revit Project File,.rvt,Misc Files,Unknown,,,,,
Google Drawings Shortcut,.gdraw,Raster Images,Unknown,,,,,
HDRtist Pro Document,.hdrp,Text,Unknown,,,,,
Google Docs Shortcut,.gdoc,Audio,Unknown,,,,,
Kontakt Audio Bank,.nkb,Encoded Files,Unknown,,,,,
U2K Ransomware Encrypted File,.u2k,Plugin Files,Unknown,,,,,
Camtasia Studio Asset Information File,.assetproj,Database Files,application/vnd.theqvd,,,,,
QlikView Data File,.qvd,Page Layouts,Unknown,,,,,
KIT Scenarist Project,.kitsp,GIS Files,Unknown,,,,,
DTED Level 0 File,.dt0,3D Images,Unknown,,,,,
3ds Max XML Animation Map File,.xmm,Images,Unknown,,,,,
Pixar Image,.picio,Vector Images,image/x-coreldrawtemplate,,,,,
ConceptDraw DIAGRAM Template (Legacy),.cdt,Database Files,Unknown,,,,,
MySQL Database Data File,.myd,Backup Files,Unknown,,,,,
Wanam Xposed Backup File,.wx,Encoded Files,Unknown,,,,,
CryptXXX Ransomware Encrypted File,.crypt,Raster Images,Unknown,,,,,
Scratch 2.0 Sprite File,.sprite2,Audio,Unknown,,,,,
OpenMPT Module,.mptm,Data Files,Unknown,,,,,
Corel Quattro Pro 7 and 8 File,.wb3,Developer Files,Unknown,,,,,
Visual Studio Deployment Project,.vdp,Plugin Files,Unknown,,,,,
Adobe Lightroom Web Gallery File,.lrwebengine,Compressed,application/zip,,,,,
Zipped File,.zip,Database Files,Unknown,,,,,
Borland Reflex Database,.r2d,Settings Files,Unknown,,,,,
Host Blocking File,.msn,CAD Files,application/A2L,,,,,
ASAP2 ECU Description File,.a2l,Game Files,Unknown,,,,,
Minecraft Anvil Region,.mca,Encoded Files,Unknown,,,,,
Keyman Developer Encrypted Keyboard File,.kxx,Game Files,Unknown,,,,,
Mass Effect Player Profile,.masseffectprofile,Web Files,application/vnd.criticaltools.wbs+xml,,,,,
WebBlender Project File,.wbs,Vector Images,application/vnd.bluetooth.ep.oob,,,,,
Pencil Document,.ep,Spreadsheet,Unknown,,,,,
Microarray Annotation File,.chip,Page Layouts,Unknown,,,,,
Zinio Electronic Magazine File,.zno,Page Layouts,Unknown,,,,,
HotDocs Form Document,.hfd,Audio,Unknown,,,,,
Avast Soundpack File,.avastsounds,Backup Files,Unknown,,,,,
Norton Ghost Virtual Volume Image,.v2i,Developer Files,Unknown,,,,,
FoxPro Project,.pjx,3D Images,model/vnd.dwf,,,,,
Design Web Format File,.dwf,Page Layouts,Unknown,,,,,
Harvard Graphics DOS Chart File,.ch3,Data Files,Unknown,,,,,
USBlyzer Data Capture File,.ulz,Text,Unknown,,,,,
Mozilla Firefox Session File,.session,Text,Unknown,,,,,
TextMaker Document,.tmdx,CAD Files,Unknown,,,,,
Opterecenja File,.opt,CAD Files,Unknown,,,,,
Quick Pallet Maker Input Data,.qpm,Text,Unknown,,,,,
FlexiWrite Document,.dfti,Database Files,application/vnd.smart.teacher,,,,,
SMART Response Teacher Database File,.teacher,Game Files,Unknown,,,,,
Message Studio Text File,.mstxt,Game Files,Unknown,,,,,
Fallout Mod Archive,.fomod,Disk Images,audio/aiff,,,,,
AFF Disk Image,.aff,Text,Unknown,,,,,
Clustify Input File,.cyi,Developer Files,Unknown,,,,,
C++ Inline File,.inl,Settings Files,Unknown,,,,,
GEMS Engine Control Unit File,.gin,Data Files,Unknown,,,,,
Team Manager Meet Event File,.hyv,Video,Unknown,,,,,
CCTV DVR Video,.dav,Developer Files,text/x-fortran,,,,,
Fortran 90 Source Code File,.f90,Web Files,Unknown,,,,,
Qworum Message File,.qrm,Misc Files,Unknown,,,,,
HLSW Shared Server List File,.sslf,Developer Files,Unknown,,,,,
Windows App Bundle,.appxbundle,Game Files,Unknown,,,,,
N64 Game ROM File,.rom,Data Files,Unknown,,,,,
Logos Library System File,.lix,Compressed,application/x-shar,,,,,
Unix Shar Archive,.shar,GIS Files,Unknown,,,,,
OpenStreetMap Binary Map File,.osb,Raster Images,Unknown,,,,,
Unreal Engine 3 Texture File Cache,.tfc,Developer Files,Unknown,,,,,
Delphi Package,.dpk,Data Files,application/xliff+xml,,,,,
XLIFF Document,.xlf,Misc Files,Unknown,,,,,
TurboCAD Drawing Lock File,.dwl,Game Files,Unknown,,,,,
Unreal Engine Map File,.udk,Web Files,Unknown,,,,,
PHP 4 Web Page,.php4,Game Files,Unknown,,,,,
Unreal Static Meshes,.usx,Game Files,application/vnd.dece.unspecified,,,,,
Unreal Tournament 2003 Saved Game,.uvx,Backup Files,Unknown,,,,,
Seedvault Backup Metadata File,.backup.metadata,Compressed,Unknown,,,,,
Synfig Studio Compressed Project,.sifz,Audio,Unknown,,,,,
Synclavier Sound File,.ssnd,Encoded Files,Unknown,,,,,
7ev3n Ransomware Encrypted File,.r5a,Data Files,Unknown,,,,,
Broderbund Print Meta Object File,.pmo,Audio,Unknown,,,,,
Blaze Audio Wave Information File,.bap,Images,image/bmp,,,,,
Windows Bitmap Image,.bmp,Page Layouts,Unknown,,,,,
Avery DesignPro Label File,.zdp,Audio,Unknown,,,,,
Pro Tools Clip Group File,.cgrp,Encoded Files,application/vnd.airzip.filesecure.azs,,,,,
AirZip FileSECURE File,.azs,Images,Unknown,,,,,
LSS16 Image,0.16,GIS Files,Unknown,,,,,
JPEG World File,.jgw,Raster Images,image/heic,,,,,
High Efficiency Image Format,.heic,Raster Images,Unknown,,,,,
TI-84 Plus C Image Var Format,.8ca,Game Files,model/vnd.valve.source.compiled-map,,,,,
Quake or Source Engine Game Map,.bsp,System Files,Unknown,,,,,
Magnex Firmware File,.mmv,Backup Files,Unknown,,,,,
StorageSync Backup Archive,.bpa,Backup Files,Unknown,,,,,
Ancestral Quest Backup Database File,.aqz,Data Files,Unknown,,,,,
Dynamics NAV Object Container File,.fob,Audio,Unknown,,,,,
Raw 32-Bit Audio File,.f32,Audio,Unknown,,,,,
Sound Clip Archive,.ssm,Data Files,Unknown,,,,,
TurboTax 2018 Tax Return,.tax2018,Text,Unknown,,,,,
Xiosis Scribe Document,.xbdoc,Data Files,Unknown,,,,,
3DMark Results File,.3dr,Data Files,Unknown,,,,,
ERWin Entity Relationship Diagram,.er1,System Files,Unknown,,,,,
Unix Shared Library File,.so.0,Data Files,application/xml,,,,,
