Description,Extension,Category,MIME type,,,,,
LoiLoScope project,.lsproj,Video,application/octet-stream,,,,,
Final Cut Pro or Apple iMovie library,.flexolibrary,Video,video/3gpp,,,,,
GOM Player multimedia data,.k3g,Video,application/octet-stream,,,,,
Pixbend Player pixbend media file,.npv,Video,video/x-matroska,,,,,
Matroska 3D video format,.mkv3D,Video,application/octet-stream,,,,,
MPEG-2 video stream,.m2s,Video,application/octet-stream,,,,,
XVW export file,.xvw,Video,application/octet-stream,,,,,
Surveillance video file format,.nde,Video,application/octet-stream,,,,,
IP camera video,.hgd,Video,application/octet-stream,,,,,
3D side by side movie,.sbs,Video,application/octet-stream,,,,,
iMovie theater library,.theater,Video,application/octet-stream,,,,,
Media Player Classic video data,.vg2,Video,application/octet-stream,,,,,
Gens Plus! movie file,.gir,Video,application/octet-stream,,,,,
Apple iMovie video data,.imovietrailer,Video,video/x-google-video,,,,,
Google video,.gvi,Video,application/octet-stream,,,,,
CMS video data,.cx3,Video,application/octet-stream,,,,,
Digi-Watcher video data,.dgw,Video,application/octet-stream,,,,,
DivX movie,.dvx,Video,application/octet-stream,,,,,
BaiduPlayer media data,.bdtp,Video,application/octet-stream,,,,,
Internet streaming video,.ivs,Video,application/octet-stream,,,,,
AVS Video Editor project,.vep4,Video,application/octet-stream,,,,,
Apple QuickTime video,.mv4,Video,application/octet-stream,,,,,
Cavena subtitles data,0.89,Video,application/octet-stream,,,,,
WorldGroup Manager Video On Demand movie,.vod,Video,application/octet-stream,,,,,
Apple LiveType animation,.ipr,Video,application/octet-stream,,,,,
Kodak/Roper Bayer picture sequence,.bay,Video,application/octet-stream,,,,,
VirtualDub Frame Server file format,.vdr,Video,application/vnd.lotus-screencam,,,,,
Lotus ScreenCam movie,.scm,Video,application/octet-stream,,,,,
AVS Media Player MPEG video file,.mvv,Video,application/vnd.apple.mpegurl,,,,,
HTTP live streaming video,.hls,Video,application/octet-stream,,,,,
SVCD video,.svcd,Video,application/octet-stream,,,,,
JVC Everio MediaBrowser movie,.mbv,Video,application/octet-stream,,,,,
Multimedia data,.hlv,Video,application/octet-stream,,,,,
Samsung Smart TV video,.s4ud,Video,application/octet-stream,,,,,
STLabs video data,.stj,Video,application/octet-stream,,,,,
Splash Pro EX video,.splash,Video,application/octet-stream,,,,,
IVC video format,.jpv,Video,application/octet-stream,,,,,
iMovie project,.imovieproj,Video,application/octet-stream,,,,,
Downloaded Flash video,.flvat,Video,application/octet-stream,,,,,
Pinnacle Studio 400 project,.st4,Video,application/vnd.dpgraph,,,,,
nDs-mPeG video data,.dpg,Video,video/vnd.ms-playready.media.pyv,,,,,
Microsoft PlayReady video,.pyv,Video,application/octet-stream,,,,,
DOSBox capture movie file,.dof,Video,application/octet-stream,,,,,
Security cam footage file,0.8,Video,application/octet-stream,,,,,
TV NOW Portable Video Recorder video format,.tvv,Video,application/octet-stream,,,,,
