Description,Extension,Category,MIME type
NanoZip Compressed File,.nz,Compressed,Unknown
Photoshop Scripting Plug-in,.8li,Plugin Files,Unknown
Super Nintendo ROM Save,.srm,Game Files,Unknown
FLIC Animation,.flic,Video,Unknown
Cloe Ray-Tracer Image,.clo,Images,Unknown
F-Secure Renamed Virus File,.0xe,Executable,Unknown
Game Maker Background Image File,.gmbck,Raster Images,Unknown
Creative Driver File,.pid,System Files,Unknown
AutoCorrect List File,.acl,Misc Files,Unknown
CardWorks Template,.cw,Page Layouts,application/prs.cww
Compressed CPIO Archive,.cpgz,Compressed,Unknown
Portfolio NetPublish File,.np,Data Files,Unknown
WhatsApp Encrypted Database File,.db.crypt12,Database Files,Unknown
ServerBoss Database File,.sdb,Database Files,Unknown
Clicker Docs File,.clkd,Page Layouts,Unknown
ObjectDock File,.dockzip,Data Files,Unknown
BETA Source File,.bet,Developer Files,Unknown
INTUS Audio Archive,.iaa,Audio,Unknown
Papyrus License File,.plf,Misc Files,application/vnd.pocketlearn
Canon Digital Camera Catalog,.ctg,Misc Files,Unknown
Unreal Tournament Module File,.umod,Game Files,Unknown
Game Texture Dictionary,.txd,Data Files,application/vnd.genomatix.tuxedo
Express STEP Data Model File,.p21,3D Images,application/p21
Muvee autoProducer 6 Project File,.mvex,Video,Unknown
Hue and Cry Photoshop Plug-in,.sa9,Plugin Files,Unknown
Miniature PlayStation Sound Format File,.minipsf,Audio,Unknown
3D VRML World,.3dv,3D Images,Unknown
WAP Binary XML File,.wbxml,Web Files,application/vnd.wap.wbxml
Mac Font Suitcase,.ffil,Font Files,Unknown
Windows Catalog File,.clg,Settings Files,Unknown
Software License File,.lic,Misc Files,Unknown
World of Tanks 3D Model Surface File,.visual_processed,3D Images,Unknown
Crytek Geometry Format File,.cgf,Game Files,Unknown
TI-73 Backup File,.73b,Backup Files,Unknown
Black Rose Lucy Ransomware Encrypted File,.lucy,Encoded Files,Unknown
Jupyter Notebook,.ipynb,Text,Unknown
Character Set,.charset,Text,Unknown
CodeKit File,.kit,Web Files,Unknown
Circuit Diagram Document,.cddx,CAD Files,Unknown
Camtasia Studio Zipped Library File,.libzip,Compressed,Unknown
ASUS BIOS File,.cmo,System Files,Unknown
Pixibox Image,.pxb,Images,Unknown
Trados TagEditor File,.ttx,Misc Files,Unknown
Pervasive.SQL Database File,.^^^,Database Files,Unknown
Java Keystore File,.keystore,Encoded Files,Unknown
Delphi Compiled Package,.dcp,Developer Files,Unknown
Cakewalk Bundle File,.bun,Audio,Unknown
WinBackup Archive,.wbb,Backup Files,Unknown
Sun TAAC Image,.taac,Images,Unknown
Bidule Layout File,.bidule,Audio,Unknown
Quake 2 3D Model,.md2,Game Files,Unknown
LÖVE Game Package,.love,Game Files,Unknown
Microsoft Management Console Snap-in Control File,.msc,System Files,Unknown
Messenger Plus! Live Encrypted Log File,.ple,Developer Files,Unknown
LightWave Motion File,.mot,3D Images,Unknown
Delphi .NET Compiled Unit File,.dcuil,Developer Files,Unknown
DivX Descriptor 2 File,.ddcx,Data Files,Unknown
Gnu Zipped Archive,.gz,Compressed,application/x-gzip
Smart Security Update File,.nup,Misc Files,Unknown
Game Boy Advance Song File,.minigsf,Audio,Unknown
Borland Package Library,.bpl,Developer Files,Unknown
Stellarium Script,.ssc,Misc Files,Unknown
POV-Ray Raytracing Format,.pov,Raster Images,Unknown
Autodesk Animator Image,.fli,Images,video/x-fli
TeslaCrypt 3.0 Ransomware Encrypted File,.micro,Encoded Files,Unknown
Photo Pos Pro Vector Object File,.pobj,Vector Images,Unknown
Unix Section 8 Manual Page,0.8,System Files,Unknown
Photoshop Touch Document,.psdx,Raster Images,Unknown
Scribus Compressed Document,.sla.gz,Text,application/vnd.scribus
Big Fish Games Application File,.bfg,Game Files,Unknown
Art Explosion Publisher Pro Document,.npp,Page Layouts,Unknown
UNIF ROM File,.unf,Game Files,Unknown
Xcode C++ Source File,.cp,Developer Files,Unknown
Automatic Backup File,.abk,Backup Files,Unknown
POD HD500 Edit Preset,.h5e,Audio,Unknown
3D Manufacturing File,.3mf,3D Images,application/vnd.ms-3mfdocument
